GT Program,Type,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,Time Per Round
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",Edit,wedding,standard,LearnSy,FAIL,1.1920687090605500,75.22456083400180,804,4,336,1351,9.659511472982980,1.1332020997375300,3,"[1.3925588328856975, 1.7369172081816941, 1.734959791880101]"
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",Edit,wedding,standard,LearnSy,TRUE,1.393412249861290,70.69582345779050,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",Search,wedding,standard,LearnSy,TRUE,1.7303472498897500,70.54521529190240,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Map(IsObject(Face), IsObject(Face), GetAbove)",Edit,wedding,standard,LearnSy,TRUE,1.3685623749624900,71.09067025012340,2,1,336,1351,9.659511472982980,1.1332020997375300,5,"[0.005122791044414043, 0.0015272910241037607, 0.001499250065535307, 0.001549749867990613, 0.0015712920576334]"
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",Edit,wedding,standard,LearnSy,TRUE,1.1738313338719300,69.50782933388840,2,1,336,1351,9.659511472982980,1.1332020997375300,1,[0.056988833006471395]
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",Edit,wedding,standard,LearnSy,TRUE,1.299539249856030,69.45460820896550,3,1,336,1351,9.659511472982980,1.1332020997375300,1,[0.00830287509597838]
"Intersection[Smile, EyesOpen]",Search ,wedding,standard,LearnSy,TRUE,1.2527053330559300,150.03358433302500,3202,17,336,1351,9.659511472982980,1.1332020997375300,163,"[3.5965850420761853, 4.0274134578648955, 4.166717374930158, 3.839865833055228, 4.260266459081322, 0.5640425840392709, 2.9990617919247597, 0.43230783310718834, 0.4316003331914544, 0.42709229211322963, 0.4283330829348415, 0.42525337520055473, 0.43056991696357727, 0.4279132909141481, 0.42578704189509153, 0.42532687494531274, 0.42702962504699826, 0.4224983328022063, 0.42347912513650954, 0.4225565418601036, 0.42389341606758535, 0.42399125010706484, 0.4202931250911206, 0.4208034579642117, 0.4190187498461455, 0.4186086670961231, 0.4171023750677705, 0.4169315421022475, 0.4164563328959048, 0.42466537514701486, 0.4159500829409808, 0.41551374993287027, 0.4123768750578165, 0.41272512497380376, 0.4122206249739975, 0.4120113330427557, 0.41475525009445846, 0.4110047919675708, 0.4111404169816524, 0.40969420899637043, 0.4086114999372512, 0.40707558300346136, 0.40680416696704924, 0.40434762509539723, 0.40501870797015727, 0.4053582919295877, 0.4062346250284463, 0.4037800838705152, 0.4035879170987755, 0.4020034170243889, 0.40148779191076756, 0.39904950000345707, 0.41356516582891345, 0.3999859159812331, 0.3959856249857694, 1.6614013330545276, 0.36704195896163583, 0.3580316249281168, 0.35685624997131526, 0.3524687080644071, 0.36067225015722215, 0.35318624996580184, 0.35202379198744893, 0.35246737487614155, 0.34987108409404755, 0.3495375830680132, 0.3496916671283543, 0.34738154197111726, 0.3482495420612395, 0.3463304580654949, 0.34685258311219513, 0.34659920795820653, 0.3467330001294613, 0.3476494171191007, 0.3435836660210043, 0.34321079193614423, 0.3437095421832055, 0.3422944999765605, 0.3421228330116719, 0.33969766716472805, 0.33773625013418496, 0.337972457986325, 0.337668624939397, 0.336245666956529, 0.33574287476949394, 0.35318141686730087, 0.340465750079602, 0.3347431670408696, 0.3332789579872042, 0.3321574169676751, 0.33281849999912083, 0.37133379210717976, 0.33453795802779496, 0.3292429579887539, 0.3299327918794006, 0.32815204188227654, 0.3292489158920944, 0.3261167500168085, 0.3264021249487996, 0.32585391704924405, 0.3255765000358224, 0.32463274989277124, 0.3233489589765668, 0.3226083340123296, 0.32176554179750383, 0.32104695797897875, 0.31929262494668365, 0.3197153329383582, 0.31892983289435506, 0.3151803750079125, 0.3175019579939544, 0.31630854099057615, 0.3147375420667231, 0.31520612514577806, 0.31528366706334054, 0.3150524578522891, 0.32267999998293817, 0.31086624995805323, 0.312184790847823, 0.3092877920717001, 0.3098323328886181, 0.3086301248986274, 0.30822070804424584, 0.3091033340897411, 0.30726633314043283, 0.3080348330549896, 0.30568466684781015, 0.3039735839702189, 0.3051496671978384, 0.30356845795176923, 0.30329674994572997, 0.30311804194934666, 0.3013382910285145, 0.3029282500501722, 0.3006365830078721, 0.3007213750388473, 0.3002737080678344, 0.30346879200078547, 0.29819254111498594, 0.2983313330914825, 0.2975963749922812, 0.29622262506745756, 0.29581204196438193, 0.29502466693520546, 0.29418816580437124, 0.2942957920022309, 0.2931064998265356, 0.2919111249502748, 0.2924470000434667, 0.31485262513160706, 0.29232650017365813, 0.29009458306245506, 0.29021733393892646, 0.2886694590561092, 0.28713404084555805, 0.2859002910554409, 0.28602354205213487, 0.28454774990677834, 0.284599042031914, 0.2850963748060167, 0.28188904095441103, 0.2827192498371005, 0.28069033403880894]"
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",Edit,wedding,standard,LearnSy,TRUE,1.4661617500241800,73.61797849996950,513,1,336,1351,9.659511472982980,1.1332020997375300,3,"[2.1468505419325083, 1.5588810830377042, 0.5358703329693526]"
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",Search,wedding,standard,LearnSy,TRUE,1.522027375176550,70.79749612486920,27,3,336,1351,9.659511472982980,1.1332020997375300,1,[1.0890702088363469]
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",Search,wedding,standard,LearnSy,FALSE,1.5704247921239600,74.45831416593870,1814,1,336,1351,9.659511472982980,1.1332020997375300,3,"[3.086373999947682, 0.006560374982655048, 0.0038557499647140503]"
