GT Program,Type,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,Time Per Round
"Intersection[IsObject(Face), Complement(Smile)]",Edit,wedding,standard,LearnSy,TRUE,1.1698548330459700,71.75579162500800,36,5,336,1351,9.659511472982980,1.1332020997375300,4,"[2.8116185418330133, 0.08248320803977549, 0.03742095804773271, 0.03738104202784598]"
"Union[IsObject(Glasses), Intersection[Smile, EyesOpen]]",Search,wedding,standard,LearnSy,FAIL,1.4042004588991400,93.28355770814230,46,4,336,1351,9.659511472982980,1.1332020997375300,5,"[4.870728958165273, 4.863591667031869, 4.522436208091676, 4.261614917078987, 4.095837833127007]"
"Map(Map(IsObject(Face), IsObject(Face), GetRight), IsObject(Face), GetRight)",Edit,wedding,standard,LearnSy,TRUE,2.052513000089680,69.82444179081360,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Union[EyesOpen, Intersection[IsObject(Face), Complement(MouthOpen)]]",Edit,wedding,standard,LearnSy,TRUE,1.3758867501746900,83.3610518751666,4288,1,336,1351,9.659511472982980,1.1332020997375300,10,"[2.9638857909012586, 2.6212454161141068, 3.1830462920479476, 2.8743066671304405, 2.887439375044778, 0.005703415954485536, 0.005657459143549204, 0.005507708061486483, 0.005686832824721932, 0.00533416704274714]"
"Union[Smile, Map(Smile, IsObject(Face), GetRight)]",Edit,wedding,standard,LearnSy,TRUE,1.6018780421000000,72.41665708296930,196,5,336,1351,9.659511472982980,1.1332020997375300,2,"[1.2020837920717895, 0.10352120804600418]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetLeft), Map(IsObject(Bride), IsObject(Face), GetRight)]",Edit,wedding,standard,LearnSy,FAIL,1.1794254158157900,72.71448587509800,29,4,336,1351,9.659511472982980,1.1332020997375300,1,[1.3436979588586837]
"Union[IsObject(Car), IsObject(Bicycle)]",Search,cars,standard,LearnSy,TRUE,0.9494122909381990,190.06692845909900,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
"Map(Intersection[Smile, EyesOpen], IsObject(Car), GetIsContained)",Search,cars,standard,LearnSy,TRUE,1.6636876671109300,194.51654995884700,43,20,116,616,15.217532467532500,1.1502403846153800,58,"[0.28794758301228285, 0.2495709580834955, 0.25033416599035263, 0.2472375410143286, 0.245342249982059, 0.24310329207219183, 0.24308775016106665, 0.1492336660157889, 0.09080833289772272, 0.09117383300326765, 0.09129458316601813, 0.09081462514586747, 0.08924058289267123, 0.08862816682085395, 0.08861858397722244, 0.08155058301053941, 0.08138062502257526, 0.08043450000695884, 0.08073708298616111, 0.07991858292371035, 0.08039154205471277, 0.08149041701108217, 0.06926870788447559, 0.06922229193150997, 0.06857779202982783, 0.06838629115372896, 0.06801191694103181, 0.0677966249641031, 0.06721633393317461, 0.06738970894366503, 0.0670928331092, 0.06683912500739098, 0.06660520820878446, 0.06662433408200741, 0.06621991586871445, 0.06613929197192192, 0.0661677501630038, 0.06665866682305932, 0.06578816683031619, 0.06545850005932152, 0.06551575008779764, 0.06514191697351635, 0.06455849995836616, 0.06454312498681247, 0.06511912518180907, 0.06452495884150267, 0.06458541587926447, 0.0640437500551343, 0.06412045890465379, 0.06404329207725823, 0.059972791001200676, 0.05918745882809162, 0.05892104213126004, 0.058853416005149484, 0.058691833168268204, 0.05860920809209347, 0.05870604212395847, 1.9150235829874873]"
"Map(IsObject(Car), IsObject(Face), GetContains)",Edit,cars,standard,LearnSy,TRUE,1.346099624875930,203.34157950012000,1990,8,116,616,15.217532467532500,1.1502403846153800,35,"[1.1170812498312443, 0.5528362081386149, 0.12173395813442767, 0.0942182089202106, 0.04421600000932813, 0.02235770784318447, 0.022534582996740937, 0.02314987499266863, 0.022906458005309105, 0.022650707978755236, 0.022595582995563745, 0.023044000146910548, 0.023977207951247692, 0.023017792031168938, 0.023332832846790552, 0.02291162498295307, 0.02339975000359118, 0.02344316686503589, 0.023447625106200576, 0.02349295816384256, 0.02005095803178847, 0.020263792015612125, 0.020601582946255803, 0.020590666914358735, 0.021501332987099886, 0.02089470811188221, 0.020846957806497812, 0.021351916017010808, 0.021116791991516948, 0.021061332896351814, 0.021575333084911108, 0.021412792149931192, 0.02165958401747048, 0.021525332937017083, 0.021962375147268176]"
Complement(IsObject(Car)),Search,cars,standard,LearnSy,TRUE,1.6774380831047900,186.19512270903200,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",Edit,cars,standard,LearnSy,FAIL,1.02374745788984,199.6346828751270,5,4,116,616,15.217532467532500,1.1502403846153800,1,[0.017300667008385062]
"Map(IsObject(Car), Union[IsObject(Person), IsObject(Bicycle)], GetContains)",Edit,cars,standard,LearnSy,FAIL,1.324166415957730,182.84549137507600,18,4,116,616,15.217532467532500,1.1502403846153800,8,"[0.05534495902247727, 0.05164737510494888, 0.052759291836991906, 0.052745958091691136, 0.046916999854147434, 0.04700683313421905, 0.04782704194076359, 0.0477353751193732]"
"Intersection[EyesOpen, Complement(Map(IsObject(Car), EyesOpen, GetContains))]",Search,cars,standard,LearnSy,TRUE,1.2155601670965600,205.319986541057,1351,2,116,616,15.217532467532500,1.1502403846153800,8,"[1.024224374908954, 1.0947854581754655, 0.9774743751622736, 0.9799915419425815, 1.0383881248999387, 1.1884489161893725, 1.1379527498502284, 1.0817682081833482]"
"Map(IsObject(Person), IsObject(Car), GetIsContained)",Search,cars,standard,LearnSy,FAIL,1.2885324580129200,188.97190724988500,284,4,116,616,15.217532467532500,1.1502403846153800,70,"[1.2621190829668194, 0.10601004213094711, 0.03241200000047684, 0.03275470808148384, 0.033062333008274436, 0.03282662504352629, 0.03304075007326901, 0.03338166722096503, 0.0338773331604898, 0.034823999973014, 0.03429979202337563, 0.03448679205030203, 0.03445395897142589, 0.011043458012863994, 0.008414042182266712, 0.00832795794121921, 0.008563583949580789, 0.008447832893580198, 0.008779082912951708, 0.00862933392636478, 0.008977167075499892, 0.008793249959126115, 0.00892499997280538, 0.009017416974529624, 0.008980457903817296, 0.009086583973839879, 0.009292041882872581, 0.00938979210332036, 0.009361832868307829, 0.009383083088323474, 0.009622165933251381, 0.00991970906034112, 0.009820792125537992, 0.009901875164359808, 0.010484332917258143, 0.009960874915122986, 0.010109249968081713, 0.010289500001817942, 0.01017295802012086, 0.010368125047534704, 0.01025087502785027, 0.010365083115175366, 0.01050241687335074, 0.010329874930903316, 0.010666083078831434, 0.010788541985675693, 0.010589417070150375, 0.010880625108256936, 0.01097937487065792, 0.010931750060990453, 0.011106042191386223, 0.010968416929244995, 0.01106495806016028, 0.011033917078748345, 0.01122975000180304, 0.011277709156274796, 0.012376583879813552, 0.015508082928135991, 0.023124082945287228, 0.01935841585509479, 0.015988667029887438, 0.01440474996343255, 0.06564037501811981, 0.010929083917289972, 0.0068134169559925795, 0.006112874951213598, 0.006217417074367404, 0.007012125104665756, 0.007212541066110134, 0.0062413341365754604]"
"Map(Map(IsObject(Helmet), IsObject(Person), GetBelow), IsObject(Bicycle), GetBelow)",Edit,cars,standard,LearnSy,TRUE,1.6346354170236700,183.44723108410800,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
"Intersection[IsObject(Bicycle), Complement(Map(IsObject(Person), IsObject(Bicycle), GetBelow))]",Search,cars,standard,LearnSy,TRUE,1.3502647920977300,187.68561224988700,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
"Intersection[IsObject(Bicycle), Complement(Map(EyesOpen, IsObject(Bicycle), GetBelow))]",Search,cars,standard,LearnSy,FAIL,1.3097464588936400,187.9060397502040,416,4,116,616,15.217532467532500,1.1502403846153800,1,[1.6155248750001192]
"Union[IsObject(Bicycle), IsObject(Car), IsObject(Person)]",Search,cars,standard,LearnSy,FAIL,1.029975458048280,213.24261612491700,7,4,116,616,15.217532467532500,1.1502403846153800,2,"[0.018981667002663016, 0.005916499998420477]"
"Map(IsObject(Bicycle), Union[Smile, EyesOpen], GetAbove)",Edit,cars,standard,LearnSy,FALSE,1.1953019169159200,211.23800716688900,1806,1,116,616,15.217532467532500,1.1502403846153800,6,"[1.147906458005309, 0.9202405409887433, 1.0785880000330508, 1.1218178330454975, 1.0926608329173177, 1.186616624938324]"
"Intersection[IsObject(Face), Complement(Map(IsObject(Bicycle), IsObject(Face), GetAbove))]",Search,cars,standard,LearnSy,FAIL,1.7561686669942000,213.13361162506000,1812,4,116,616,15.217532467532500,1.1502403846153800,3,"[1.18120316718705, 1.5933872919995338, 0.025914208963513374]"
"Union[IsObject(Cat), IsObject(Face)]",Edit,cats,standard,LearnSy,FAIL,0.5002404579427090,22.062061166856400,5174,4,510,1061,2.4373232799246000,1.2250816993464100,4,"[4.133644459070638, 4.250531750032678, 0.002900750143453479, 0.00192137504927814]"
"Union[IsObject(Cat), EyesOpen]",Search,cats,standard,LearnSy,FAIL,0.5241546249017120,32.588629458099600,5174,4,510,1061,2.4373232799246000,1.2250816993464100,3,"[4.388185583055019, 4.619900499936193, 6.15652579208836]"
"Intersection[IsObject(Cat), Complement(Map(IsObject(Cat), IsObject(Cat), GetBelow))]",Search,cats,standard,LearnSy,TRUE,0.5334869581274690,25.04483591695320,5174,1,510,1061,2.4373232799246000,1.2250816993464100,2,"[4.087842042092234, 7.3904235830996186]"
"Intersection[Map(IsObject(Cat), IsObject(Cat), GetRight), Map(IsObject(Cat), IsObject(Cat), GetLeft)]",Edit,cats,standard,LearnSy,TRUE,0.5682191669475290,16.92044825013730,1,1,510,1061,2.4373232799246000,1.2250816993464100,0,[]
"Map(IsObject(Guitar), IsObject(Face), GetAbove)",Edit,festival,standard,LearnSy,FAIL,1.2124149170704200,51.82732666702940,260,4,338,1525,13.528524590163900,1.1565137130801700,15,"[1.742567416979, 1.1471926670055836, 1.122921124799177, 1.7569157909601927, 1.1765098329633474, 1.2002485829871148, 1.2272757501341403, 1.2070600839797407, 1.0794262909330428, 1.193560834042728, 1.0856538340449333, 1.0921270418912172, 1.1130988751538098, 1.1012470421846956, 1.15767312515527]"
"Union[IsObject(Guitar), Map(IsObject(Guitar), IsObject(Face), GetAbove)]",Search,festival,standard,LearnSy,TRUE,1.153385791927580,43.07728016702460,53,2,338,1525,13.528524590163900,1.1565137130801700,12,"[3.6857257501687855, 1.7640402500983328, 1.7072783750481904, 0.4258956250268966, 0.04585237498395145, 0.009160625049844384, 0.009097416885197163, 0.008973417105153203, 0.00923004187643528, 0.009120875038206577, 0.00919512496329844, 0.009118167217820883]"
"Intersection[IsObject(Face), Complement(Map(IsObject(Guitar), IsObject(Face), GetAbove))]",Edit,festival,standard,LearnSy,TRUE,1.2427194169722500,42.23198470892390,2057,1,338,1525,13.528524590163900,1.1565137130801700,1,[3.9545725830830634]
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",Edit,wedding,standard,SampleSy,TRUE,1.181752665899690,0.4798969579860570,804,1,336,1351,9.659511472982980,1.1332020997375300,3,"[0.4069371251389384, 0.058350333012640476, 0.014393999939784408]"
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",Edit,wedding,standard,SampleSy,TRUE,1.3284630838315900,0.00012062489986419700,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",Search,wedding,standard,SampleSy,TRUE,1.695280124899,9.53751150518656E-05,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Map(IsObject(Face), IsObject(Face), GetAbove)",Edit,wedding,standard,SampleSy,TRUE,1.3461111248470800,0.009406625060364600,2,1,336,1351,9.659511472982980,1.1332020997375300,1,[0.009255582932382822]
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",Edit,wedding,standard,SampleSy,TRUE,1.121196584077550,0.013333500130102000,2,1,336,1351,9.659511472982980,1.1332020997375300,1,[0.013244083849713206]
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",Edit,wedding,standard,SampleSy,TRUE,1.3332238751463600,0.017949042143300200,3,1,336,1351,9.659511472982980,1.1332020997375300,1,[0.017805000068619847]
"Intersection[Smile, EyesOpen]",Search ,wedding,standard,SampleSy,TRUE,1.1915720829274500,2.4852778338827200,3202,17,336,1351,9.659511472982980,1.1332020997375300,5,"[0.5650129169225693, 0.5815464169718325, 0.6131312078796327, 0.2188649580348283, 0.2196380419190973]"
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",Edit,wedding,standard,SampleSy,TRUE,1.3958312498871200,0.4178542501758780,513,1,336,1351,9.659511472982980,1.1332020997375300,2,"[0.3487562909722328, 0.06893295794725418]"
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",Search,wedding,standard,SampleSy,TRUE,1.4299030839465600,0.21474641701206600,27,3,336,1351,9.659511472982980,1.1332020997375300,2,"[0.15605112491175532, 0.027925166999921203]"
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",Search,wedding,standard,SampleSy,TRUE,1.5728501249104700,0.5304285830352460,1814,1,336,1351,9.659511472982980,1.1332020997375300,3,"[0.468867541057989, 0.05215733405202627, 0.009161374997347593]"
"Intersection[IsObject(Face), Complement(Smile)]",Edit,wedding,standard,SampleSy,TRUE,1.106453999876980,0.34551604208536400,36,5,336,1351,9.659511472982980,1.1332020997375300,1,[0.2864126660861075]
"Union[IsObject(Glasses), Intersection[Smile, EyesOpen]]",Search,wedding,standard,SampleSy,FALSE,1.3542132079601300,0.2446707917843010,46,1,336,1351,9.659511472982980,1.1332020997375300,1,[0.24453579098917544]
"Map(Map(IsObject(Face), IsObject(Face), GetRight), IsObject(Face), GetRight)",Edit,wedding,standard,SampleSy,TRUE,1.9865386669989700,0.0001272079534828660,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Union[EyesOpen, Intersection[IsObject(Face), Complement(MouthOpen)]]",Edit,wedding,standard,SampleSy,TRUE,1.324722332879900,1.7608484579250200,4288,1,336,1351,9.659511472982980,1.1332020997375300,5,"[0.7659471668303013, 0.3144255420193076, 0.32997316610999405, 0.339374708943069, 0.010894750012084842]"
"Union[Smile, Map(Smile, IsObject(Face), GetRight)]",Edit,wedding,standard,SampleSy,TRUE,1.6244874999392800,0.5330633330158890,196,5,336,1351,9.659511472982980,1.1332020997375300,2,"[0.4208871659357101, 0.050574792083352804]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetLeft), Map(IsObject(Bride), IsObject(Face), GetRight)]",Edit,wedding,standard,SampleSy,FAIL,1.1917857078369700,0.19311049999669200,29,4,336,1351,9.659511472982980,1.1332020997375300,1,[0.1930047501809895]
"Union[IsObject(Car), IsObject(Bicycle)]",Search,cars,standard,SampleSy,TRUE,1.0151910409331300,0.0012814581859856800,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
"Map(Intersection[Smile, EyesOpen], IsObject(Car), GetIsContained)",Search,cars,standard,SampleSy,TRUE,1.750813707942140,0.5282522500492630,43,20,116,616,15.217532467532500,1.1502403846153800,6,"[0.11171841714531183, 0.07948754215613008, 0.06523937499150634, 0.06125174998305738, 0.0553166251629591, 0.06537424982525408]"
"Map(IsObject(Car), IsObject(Face), GetContains)",Edit,cars,standard,SampleSy,TRUE,1.3253330828156300,0.6681500000413510,1990,8,116,616,15.217532467532500,1.1502403846153800,7,"[0.2516149580478668, 0.1839082920923829, 0.04951954213902354, 0.03242045803926885, 0.02726370794698596, 0.046095167053863406, 0.04350770800374448]"
Complement(IsObject(Car)),Search,cars,standard,SampleSy,TRUE,1.6333688329905300,0.00023450003936886800,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",Edit,cars,standard,SampleSy,FAIL,0.987601000117138,0.008591458201408390,5,4,116,616,15.217532467532500,1.1502403846153800,1,[0.008484583115205169]
"Map(IsObject(Car), Union[IsObject(Person), IsObject(Bicycle)], GetContains)",Edit,cars,standard,SampleSy,TRUE,1.2675153750460600,0.05015029083006080,18,1,116,616,15.217532467532500,1.1502403846153800,1,[0.050037958193570375]
"Intersection[EyesOpen, Complement(Map(IsObject(Car), EyesOpen, GetContains))]",Search,cars,standard,SampleSy,FALSE,1.1885021249763700,0.6643851248081770,1351,34,116,616,15.217532467532500,1.1502403846153800,3,"[0.24831754202023149, 0.10228025005199015, 0.0950394170358777]"
"Map(IsObject(Person), IsObject(Car), GetIsContained)",Search,cars,standard,SampleSy,TRUE,1.2789783750195100,0.17937245895154800,284,1,116,616,15.217532467532500,1.1502403846153800,3,"[0.11306112515740097, 0.06161891599185765, 0.004395666997879744]"
"Map(Map(IsObject(Helmet), IsObject(Person), GetBelow), IsObject(Bicycle), GetBelow)",Edit,cars,standard,SampleSy,TRUE,1.5859935830812900,0.00017112493515014600,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
"Intersection[IsObject(Bicycle), Complement(Map(IsObject(Person), IsObject(Bicycle), GetBelow))]",Search,cars,standard,SampleSy,TRUE,1.3161015410441900,0.00019458401948213600,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
"Intersection[IsObject(Bicycle), Complement(Map(EyesOpen, IsObject(Bicycle), GetBelow))]",Search,cars,standard,SampleSy,FAIL,1.2548217920120800,0.15793500002473600,416,4,116,616,15.217532467532500,1.1502403846153800,2,"[0.12120420904830098, 0.03660749993287027]"
"Union[IsObject(Bicycle), IsObject(Car), IsObject(Person)]",Search,cars,standard,SampleSy,TRUE,1.014778499957170,0.013571166899055200,7,1,116,616,15.217532467532500,1.1502403846153800,1,[0.013421792071312666]
"Map(IsObject(Bicycle), Union[Smile, EyesOpen], GetAbove)",Edit,cars,standard,SampleSy,FALSE,1.0782956660259500,0.4893026251811530,1806,1,116,616,15.217532467532500,1.1502403846153800,3,"[0.24801037507131696, 0.23440045793540776, 0.006615958176553249]"
"Intersection[IsObject(Face), Complement(Map(IsObject(Bicycle), IsObject(Face), GetAbove))]",Search,cars,standard,SampleSy,FAIL,1.4158502919599400,0.45514195784926400,1812,4,116,616,15.217532467532500,1.1502403846153800,2,"[0.2533579170703888, 0.2016208751592785]"
"Union[IsObject(Cat), IsObject(Face)]",Edit,cats,standard,SampleSy,FAIL,0.4985022919718180,1.0838550420012300,5174,4,510,1061,2.4373232799246000,1.2250816993464100,2,"[0.5599979581311345, 0.523731917142868]"
"Union[IsObject(Cat), EyesOpen]",Search,cats,standard,SampleSy,FAIL,0.4972485830076040,1.4208267501089700,5174,4,510,1061,2.4373232799246000,1.2250816993464100,3,"[0.5623299169819802, 0.5872480419930071, 0.2711357919033617]"
"Intersection[IsObject(Cat), Complement(Map(IsObject(Cat), IsObject(Cat), GetBelow))]",Search,cats,standard,SampleSy,FAIL,0.49767154222354300,1.6016247090883600,5174,4,510,1061,2.4373232799246000,1.2250816993464100,4,"[0.5617437909822911, 0.3432114999741316, 0.3468340840190649, 0.3497056250926107]"
"Intersection[Map(IsObject(Cat), IsObject(Cat), GetRight), Map(IsObject(Cat), IsObject(Cat), GetLeft)]",Edit,cats,standard,SampleSy,TRUE,0.5584915420040490,8.52500088512898E-05,1,1,510,1061,2.4373232799246000,1.2250816993464100,0,[]
"Map(IsObject(Guitar), IsObject(Face), GetAbove)",Edit,festival,standard,SampleSy,TRUE,1.220267874887210,2.1419746670872000,260,29,338,1525,13.528524590163900,1.1565137130801700,7,"[0.29052933282218874, 0.23698745877481997, 0.22362449998036027, 0.19244316685944796, 0.17205316689796746, 0.37437374982982874, 0.3686670830938965]"
"Union[IsObject(Guitar), Map(IsObject(Guitar), IsObject(Face), GetAbove)]",Search,festival,standard,SampleSy,FAIL,1.125832000048830,0.28489675000309900,53,4,338,1525,13.528524590163900,1.1565137130801700,1,[0.28471720893867314]
"Intersection[IsObject(Face), Complement(Map(IsObject(Guitar), IsObject(Face), GetAbove))]",Edit,festival,standard,SampleSy,FAIL,1.2596375001594400,0.6319469998124990,2057,4,338,1525,13.528524590163900,1.1565137130801700,2,"[0.4382267079781741, 0.19355674996040761]"
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",Edit,wedding,CCE,SmartLabel,TRUE,2.5103430419694600,19.42301783291620,1133,1,336,1348,9.659511472982980,1.1332020997375300,5,"[8.69313112506643, 8.063259875169024, 1.3845846669282764, 0.610461541917175, 0.48086837492883205]"
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",Edit,wedding,CCE,SmartLabel,TRUE,2.807928082998840,2.2704879159573500,14,1,336,1350,9.659511472982980,1.1332020997375300,1,[2.1256646669935435]
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",Search,wedding,CCE,SmartLabel,TRUE,3.392158709000800,0.6269728750921790,3,1,336,1350,9.659511472982980,1.1332020997375300,1,[0.53244583401829]
"Map(IsObject(Face), IsObject(Face), GetAbove)",Edit,wedding,CCE,SmartLabel,TRUE,3.3671456249430800,6.366313499864190,33,1,336,1349,9.659511472982980,1.1332020997375300,2,"[5.618967792019248, 0.6144736669957638]"
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",Edit,wedding,CCE,SmartLabel,TRUE,2.3513632498215900,0.695619999896735,2,1,336,1350,9.659511472982980,1.1332020997375300,1,[0.47932491707615554]
