Domain,Test Setting,Avg. # Rounds of Interaction,Avg. # Initial Programs,Avg. # Final Programs,# Benchmarks Solved,Avg. Time per Round of Interaction,Total Refine HS Time,Total Select Question Time,Total Distinguish Time
ImageEditActiveLearning,CCE_SmartLabel,4.405405405405405,2687.3513513513512,5.0,36,6.775092838673447,284.8750491652172,796.0741449615452,35.17104423511773
MNISTActiveLearning,CCE_SmartLabel,3.98,2033.56,34.88,50,4.7826094595848785,531.6868511263747,415.3982440375257,74.05573216988705
Overall,CCE_SmartLabel,4.160919540229885,2311.609195402299,22.17241379310345,86,5.679777389947963,816.5619002915919,1211.472388999071,109.22677640500478
