GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,Time Per Round
(length (filter (curry le 5) (map (curry plus 1) (map_imgs pred_int input-list)))),,standard,LearnSy,True,2.0281663748901337,20.96409787517041,460,61,100,448,7.330357142857143,2.5057471264367814,2,"[7.6822552918456495, 6.150474708992988]"
(fold max 0  (map (curry plus (apply pred_int input-img)) (filter (curry le 8) (map_imgs pred_int input-list)))),,standard,LearnSy,FAIL,1.9009392498992383,14.224331042030826,153,4,100,448,7.330357142857143,2.5057471264367814,32,"[8.280982750002295, 0.48287470801733434, 0.03695866698399186, 0.034199625020846725, 0.03353454219177365, 0.03389720804989338, 0.033743832958862185, 0.03352912492118776, 0.03297333302907646, 0.03289829194545746, 0.02683350001461804, 0.02585408417508006, 0.025889124954119325, 0.025930291041731834, 0.025474917143583298, 0.025418167002499104, 0.014499875018373132, 0.014225084101781249, 0.014526874991133809, 0.014393958961591125, 0.014529250096529722, 0.014208082808181643, 0.014531749999150634, 0.014198207994922996, 0.014445416163653135, 0.010196708841249347, 0.010290417121723294, 0.010259458096697927, 0.010347208008170128, 0.01041204179637134, 0.010179667035117745, 0.010374750010669231]"
(fold plus 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 6) (map_imgs pred_int input-list)))),,standard,LearnSy,True,1.916749290889129,4.829653375083581,3,1,100,448,7.330357142857143,2.5057471264367814,13,"[0.00352508295327425, 0.0034902088809758425, 0.001485540997236967, 0.0015088331419974566, 0.0015367500018328428, 0.001655207946896553, 0.0016970420256257057, 0.0018550001550465822, 0.0016637498047202826, 0.0017000408843159676, 0.0017168328631669283, 0.0017536249943077564, 0.0017632499802857637]"
(length (filter (curry ge (apply pred_int input-img)) (map (curry mult 2)  (map_imgs pred_int input-list)))),,standard,LearnSy,True,1.9280047500506043,8.108378333039582,122,1,100,448,7.330357142857143,2.5057471264367814,2,"[2.4317997919861227, 0.7870711248833686]"
(fold max 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 2)  (map_imgs pred_int input-list)))),,standard,LearnSy,True,1.949528208002448,5.268809708068147,32,1,100,448,7.330357142857143,2.5057471264367814,8,"[0.3017570001538843, 0.006375583121553063, 0.006329333176836371, 0.007081874879077077, 0.0065511250868439674, 0.006933791795745492, 0.006316666025668383, 0.001500791171565652]"
(fold plus 0 (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,standard,LearnSy,True,1.9234802089631557,16.48660249984823,215,7,100,448,7.330357142857143,2.5057471264367814,2,"[11.332834457978606, 0.027455999981611967]"
(fold mult 1 (filter (curry le (apply pred_int input-img)) (map (curry mult 3) (map_imgs pred_int input-list)))),,standard,LearnSy,True,1.9200914578977972,137.1718297500629,1730,1,100,448,7.330357142857143,2.5057471264367814,14,"[11.558573541929945, 10.62139800004661, 10.662821041885763, 10.514668249990791, 10.317047874908894, 10.11431770818308, 10.09386770799756, 10.010248290840536, 9.853839166928083, 9.799400874879211, 9.72356704203412, 9.574334209086373, 9.446933166123927, 0.024535540957003832]"
(length (filter (curry le 8) (filter (curry ge 8) (map_imgs pred_int input-list)))),,standard,LearnSy,FAIL,1.9570031662005931,11.479416083078831,330,4,100,448,7.330357142857143,2.5057471264367814,5,"[6.622663707938045, 0.00975662493146956, 0.008385583059862256, 0.008859124965965748, 0.009005500003695488]"
(fold plus (apply pred_int input-img) (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,standard,LearnSy,FAIL,1.9530099160037935,6.883142167003825,79,4,100,448,7.330357142857143,2.5057471264367814,1,[2.0577944999095052]
(fold plus 0 (map (curry mult 2) (map_imgs pred_int input-list))),,standard,LearnSy,True,1.8814506251364946,5.498734415974468,22,13,100,448,7.330357142857143,2.5057471264367814,1,[0.14474904211238027]
(fold max (apply pred_int input-img) (filter (curry ge 5) (map_imgs pred_int input-list))),,standard,LearnSy,FAIL,2.059442082885653,20.13411729200743,140,4,100,448,7.330357142857143,2.5057471264367814,5,"[6.511824458837509, 2.537626957986504, 2.1247636252082884, 2.0972637080121785, 2.087753416970372]"
(fold plus 0 (map (curry plus (apply pred_int input-img)) (map_imgs pred_int input-list))),,standard,LearnSy,True,1.90765649988316,5.128996915882453,12,6,100,448,7.330357142857143,2.5057471264367814,1,[0.05189412506297231]
(length (filter (curry le (apply pred_int input-img)) (map_imgs pred_int input-list))),,standard,LearnSy,True,1.9355849581770599,6.501373332925141,42,6,100,448,7.330357142857143,2.5057471264367814,22,"[0.3537392921280116, 0.12333891703747213, 0.07246433291584253, 0.07208658405579627, 0.06171449995599687, 0.06210137507878244, 0.060837458819150925, 0.060305416816845536, 0.05970908305607736, 0.06148587493225932, 0.060520166996866465, 0.05174912489019334, 0.050552875036373734, 0.05148529214784503, 0.05003720801323652, 0.05012116697616875, 0.04916633293032646, 0.049136041197925806, 0.03629333293065429, 0.014277082867920399, 0.014156625140458345, 0.014256833819672465]"
(fold mult 1 (map (curry mult 7) (map_imgs pred_int input-list))),,standard,LearnSy,True,1.9016133330296725,5.383226583013311,26,10,100,448,7.330357142857143,2.5057471264367814,1,[0.19039124995470047]
(length (filter (curry ge 4) (filter (curry le 8) (map_imgs pred_int input-list)))),,standard,LearnSy,True,1.927255833055824,15.807047582929954,276,2,100,448,7.330357142857143,2.5057471264367814,8,"[9.578766250051558, 1.1599119580350816, 0.0032829998526722193, 0.003114708000794053, 0.003100167028605938, 0.003287249943241477, 0.0033874588552862406, 0.0032612921204417944]"
(fold max 0 (filter (curry le 2) (map_imgs pred_int input-list))),,standard,LearnSy,FAIL,1.989001417066902,5.076547374948859,23,4,100,448,7.330357142857143,2.5057471264367814,3,"[0.12466716696508229, 0.10066054109483957, 0.006204957840964198]"
(fold plus 0 (filter (curry ge 8) (map_imgs pred_int input-list))),,standard,LearnSy,FAIL,1.9927057921886444,29.701355791883543,5191,4,100,448,7.330357142857143,2.5057471264367814,29,"[10.208062750054523, 2.0783495001960546, 0.525861042086035, 0.5072376248426735, 0.5071847920771688, 0.5063651250675321, 0.5020195420365781, 0.4923252079170197, 0.4901366669218987, 0.4873293749988079, 0.48571387492120266, 0.4764174160081893, 0.4729142498690635, 0.4709444160107523, 0.5195174580439925, 0.46311820787377656, 0.45846070791594684, 0.450700290966779, 0.44937737518921494, 0.44712741603143513, 0.44470970798283815, 0.4342513750307262, 0.4352973750792444, 0.42967574996873736, 0.4258633751887828, 0.4208843749947846, 0.4202420830260962, 0.4415142920333892, 0.41243129200302064]"
(fold max 0 (map (curry mult 2) (map_imgs pred_int input-list))),,standard,LearnSy,FAIL,1.992992667015642,107.75575137510896,146,4,100,448,7.330357142857143,2.5057471264367814,26,"[6.6553966659121215, 4.412422416033223, 4.359202708117664, 4.356134125031531, 4.221014166017994, 4.202501124935225, 4.117189625045285, 4.0633942920248955, 4.086582374991849, 4.004900624975562, 3.933946500066668, 3.941135416040197, 3.955780291929841, 3.8361157500185072, 3.8191247910726815, 3.7949100001715124, 3.685289208078757, 3.627352833049372, 3.6692117920611054, 3.556726875016466, 3.5416370418388397, 3.5044674170203507, 3.410703457891941, 3.410582165932283, 3.3567921661306173, 3.362902957946062]"
(fold max 0 (map (curry mult 2) (filter (curry ge 5) (map_imgs pred_int input-list)))),,standard,LearnSy,False,1.9070524170529097,4.997239790856838,21,1,100,448,7.330357142857143,2.5057471264367814,1,[0.14162458409555256]
(length (filter (curry ge 1) (map_imgs pred_int input-list))),,standard,LearnSy,FAIL,1.9603544159326702,74.95497774984688,3299,4,100,448,7.330357142857143,2.5057471264367814,28,"[7.394107042113319, 6.48315383400768, 3.6310335418675095, 2.514791915891692, 2.4969293328467757, 2.4625527090393007, 2.454997790977359, 2.425192042021081, 2.399863083148375, 2.378181332955137, 2.351248542079702, 2.324231541948393, 2.2894760409835726, 2.3081052501220256, 2.238684584153816, 2.2335219581145793, 2.172236582962796, 1.8783290418796241, 1.8678024590481073, 1.8342225418891758, 1.8178150828462094, 1.7967037081252784, 1.7852418750990182, 1.7629529580008239, 1.7453620419837534, 1.723215833073482, 1.6998261669650674, 1.6750253329519182]"
