GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,Time Per Round
(length (filter (curry le 5) (map (curry plus 1) (map_imgs pred_int input-list)))),,standard,LearnSy,FAIL,2.0225783330388367,67.02949462505057,1970,4,100,448,7.330357142857143,2.5057471264367814,16,"[9.687135707819834, 9.670358374947682, 3.294730333145708, 3.201590499840677, 3.1765477911103517, 3.1322103750426322, 3.1530994998756796, 3.0970754579175264, 3.082420791964978, 3.0364462919533253, 3.0455645420588553, 2.935678540961817, 2.9948583331424743, 2.888917916920036, 2.892578500090167, 2.855673125013709]"
(fold max 0  (map (curry plus (apply pred_int input-img)) (filter (curry le 8) (map_imgs pred_int input-list)))),,standard,LearnSy,FAIL,2.10941749997437,34.1689232501667,239,4,100,448,7.330357142857143,2.5057471264367814,31,"[14.320624166866764, 14.377291375072673, 0.04147516703233123, 0.03438558313064277, 0.033311041072010994, 0.03385533299297094, 0.034007875015959144, 0.033337750006467104, 0.033201000187546015, 0.03284545801579952, 0.026498541934415698, 0.02562600001692772, 0.025783332996070385, 0.02580458391457796, 0.025669583119452, 0.014307458885014057, 0.014308415818959475, 0.014313624938949943, 0.014601167058572173, 0.014422125183045864, 0.014087291900068521, 0.01420983299612999, 0.015224500093609095, 0.014269040897488594, 0.010277834022417665, 0.010026084026321769, 0.010120542021468282, 0.010305874980986118, 0.010200208984315395, 0.010403375141322613, 0.01031200005672872]"
(fold plus 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 6) (map_imgs pred_int input-list)))),,standard,LearnSy,True,1.9224031250923872,4.907705334015191,14,1,100,448,7.330357142857143,2.5057471264367814,2,"[0.07245995802804828, 0.003544167149811983]"
(length (filter (curry ge (apply pred_int input-img)) (map (curry mult 2)  (map_imgs pred_int input-list)))),,standard,LearnSy,True,1.9585795828606933,32.810410416917875,3617,1,100,448,7.330357142857143,2.5057471264367814,6,"[7.066793666919693, 7.6362491669133306, 5.711365249939263, 2.526644582860172, 2.5211268339771777, 2.488637249916792]"
(fold max 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 2)  (map_imgs pred_int input-list)))),,standard,LearnSy,True,1.9373662499710917,24.56140962499194,1630,1,100,448,7.330357142857143,2.5057471264367814,27,"[12.396281457971781, 0.5787420419510454, 0.42734687495976686, 0.3893387077841908, 0.3823947499040514, 0.3772070000413805, 0.34606595803052187, 0.34154366701841354, 0.33918441692367196, 0.29422733280807734, 0.2899978330824524, 0.2875756248831749, 0.2839223339688033, 0.28435641597025096, 0.28102550003677607, 0.2775828749872744, 0.2731204580049962, 0.2524902920704335, 0.24966950016096234, 0.24660245794802904, 0.2447706670500338, 0.24162962497211993, 0.24500879202969372, 0.2461339170113206, 0.004273500060662627, 0.004434875212609768, 0.0044289580546319485]"
(fold plus 0 (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,standard,LearnSy,True,2.0232529169879854,5.781653834041208,25,7,100,448,7.330357142857143,2.5057471264367814,14,"[0.18280829186551273, 0.04341225000098348, 0.04173466702923179, 0.04147366713732481, 0.04049325012601912, 0.04037541709840298, 0.033570083091035485, 0.033566666999831796, 0.03354958281852305, 0.033411917043849826, 0.026247458066791296, 0.02061283285729587, 0.02027595811523497, 0.02039916696958244]"
(fold mult 1 (filter (curry le (apply pred_int input-img)) (map (curry mult 3) (map_imgs pred_int input-list)))),,standard,LearnSy,True,2.2121430828701705,152.90830095903948,14775,1,100,448,7.330357142857143,2.5057471264367814,13,"[11.830820957897231, 11.305861958069727, 11.446564124897122, 11.685697250068188, 11.922558292048052, 11.601923917187378, 11.94195545814, 11.968486208003014, 10.954140583053231, 11.036580540938303, 10.815220500109717, 10.838299500057474, 10.678995416965336]"
(length (filter (curry le 8) (filter (curry ge 8) (map_imgs pred_int input-list)))),,standard,LearnSy,True,1.9766721669584513,7.552475250093266,85,2,100,448,7.330357142857143,2.5057471264367814,3,"[1.6209659171290696, 1.0047996251378208, 0.004896791884675622]"
(fold plus (apply pred_int input-img) (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,standard,LearnSy,False,1.8760492079891264,12.135145124979317,165,1,100,448,7.330357142857143,2.5057471264367814,1,[7.245939749991521]
(fold plus 0 (map (curry mult 2) (map_imgs pred_int input-list))),,standard,LearnSy,FAIL,1.8935654580127448,4.85550633398816,13,4,100,448,7.330357142857143,2.5057471264367814,1,[0.06694920896552503]
