GT Program,Type,Benchmark Info,Semantics,Delta,Avg. Per Component Pred. Set Size,Avg. Per Input Pred. Set Size,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round,Initial Examples
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",Edit,wedding,CCE,0.475,1.2300909341416400,27.203125,SmartLabel,TRUE,5.221488043665890,39.813643880188500,3875,1,6,"[9.72682137414813, 9.744647696614265, 8.165282141417265, 7.550325598567724, 2.365591414272785, 2.0276160798966885]","[('wedding/our-wedding_7667960846_o Medium.jpeg', {'270', '271'}), ('wedding/our-wedding_7667990430_o Medium.jpeg', {'326'}), ('wedding/our-wedding_7669155316_o Medium.jpeg', {'1773'}), ('wedding/our-wedding_7669054868_o Medium.jpeg', {'1540'}), ('wedding/our-wedding_7667858606_o Medium.jpeg', set()), ('wedding/our-wedding_7669146078_o Medium.jpeg', {'1746'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'117', '116'})]"
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",Edit,wedding,CCE,0.475,1.2300909341416400,27.203125,SmartLabel,TRUE,6.780478190630670,17.24714432284240,8432,1,3,"[12.793777275830507, 3.5843719504773617, 0.723656065762043]","[('wedding/our-wedding_7667901558_o Medium.jpeg', {'167', '166'}), ('wedding/our-wedding_7667875916_o Medium.jpeg', {'63'}), ('wedding/our-wedding_7669390412_o Medium.jpeg', {'2235'}), ('wedding/our-wedding_7667895274_o Medium.jpeg', set()), ('wedding/our-wedding_7669057508_o Medium.jpeg', {'1558'})]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",Search,wedding,CCE,0.475,1.2300909341416400,27.203125,SmartLabel,TRUE,14.135239373892500,39.55625259503720,61,6,22,"[7.955657429993153, 7.8703937120735645, 3.4179046489298344, 1.7587404511868954, 1.5679727047681808, 1.3730719611048698, 1.3258941173553467, 1.2072102464735508, 1.208602026104927, 0.6456949785351753, 0.5158591233193874, 0.5124458000063896, 0.5137966424226761, 0.4555896036326885, 0.3481183350086212, 1.5376515798270702, 1.4591804966330528, 1.3990078903734684, 1.387815773487091, 1.3791059292852879, 1.3735450096428394, 0.1868562288582325]","[('wedding/our-wedding_7668149796_o Medium.jpeg', {'835', '841'}), ('wedding/our-wedding_7669446920_o Medium.jpeg', {'2336', '2333'}), ('wedding/our-wedding_7668916354_o Medium.jpeg', {'1198', '1199', '1202'}), ('wedding/our-wedding_7668045644_o Medium.jpeg', set()), ('wedding/our-wedding_7667917902_o Medium.jpeg', {'210', '217', '211'}), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668036458_o Medium.jpeg', set()), ('wedding/our-wedding_7668052228_o Medium.jpeg', set()), ('wedding/our-wedding_7668590818_o Medium.jpeg', set()), ('wedding/our-wedding_7668662792_o Medium.jpeg', set()), ('wedding/our-wedding_7668876442_o Medium.jpeg', {'1128', '1133'}), ('wedding/our-wedding_7668954596_o Medium.jpeg', {'1295', '1291'}), ('wedding/our-wedding_7669198916_o Medium.jpeg', {'1832', '1831', '1836', '1837'})]"
"Map(IsObject(Face), IsObject(Face), GetAbove)",Edit,wedding,CCE,0.475,1.2300909341416400,27.203125,SmartLabel,TRUE,6.322432912886140,22.702881447970900,94,1,8,"[8.551434010267258, 4.249024882912636, 2.2296749502420425, 1.7246996723115444, 1.5885628387331963, 1.5426315516233444, 1.3813894726336002, 1.3372980765998363]","[('wedding/our-wedding_7669442380_o Medium.jpeg', {'2324', '2327'}), ('wedding/our-wedding_7669076756_o Medium.jpeg', {'1617'}), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1321', '1326', '1324'}), ('wedding/our-wedding_7668095250_o Medium.jpeg', {'667'}), ('wedding/our-wedding_7668045644_o Medium.jpeg', {'449', '450'}), ('wedding/our-wedding_7667917902_o Medium.jpeg', set()), ('wedding/our-wedding_7667996460_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668036458_o Medium.jpeg', set()), ('wedding/our-wedding_7668052228_o Medium.jpeg', set())]"
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",Edit,wedding,CCE,0.475,1.2300909341416400,27.203125,SmartLabel,FAIL,5.566020619124170,8.196346279233690,33,4,2,"[6.9166588969528675, 1.2796338573098183]","[('wedding/our-wedding_7667907634_o Medium.jpeg', {'188'}), ('wedding/our-wedding_7669213072_o Medium.jpeg', {'1857'}), ('wedding/our-wedding_7669258646_o Medium.jpeg', set()), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1326'})]"
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",Edit,wedding,CCE,0.475,1.2300909341416400,27.203125,SmartLabel,TRUE,6.134627070277930,0.2418006882071500,1,1,0,[],"[('wedding/our-wedding_7668015714_o Medium.jpeg', {'374', '376'}), ('wedding/our-wedding_7669326520_o Medium.jpeg', {'2066', '2060', '2069', '2062', '2064'})]"
"Intersection[Smile, EyesOpen]",Search ,wedding,CCE,0.475,1.2300909341416400,27.203125,SmartLabel,TRUE,16.40264204144480,102.41771841421700,4346,1,12,"[12.70841583609581, 10.933229226619005, 9.783908162266016, 10.6276921518147, 10.796748857945204, 10.710168324410915, 10.829408176243305, 11.465808507055044, 11.458118680864573, 1.1050009988248348, 0.9577926956117153, 0.9216495156288147]","[('wedding/our-wedding_7669409648_o Medium.jpeg', {'2278', '2279'}), ('wedding/our-wedding_7669224504_o Medium.jpeg', {'1882', '1880'}), ('wedding/our-wedding_7669245932_o Medium.jpeg', {'1899', '1900', '1898'}), ('wedding/our-wedding_7669031674_o Medium.jpeg', set()), ('wedding/our-wedding_7667917902_o Medium.jpeg', {'217'}), ('wedding/our-wedding_7668045644_o Medium.jpeg', {'449', '452', '451', '450'}), ('wedding/our-wedding_7669312112_o Medium.jpeg', {'2032', '2030', '2037', '2036', '2035', '2039', '2031', '2029', '2033'}), ('wedding/our-wedding_7668635930_o Medium.jpeg', {'1059'}), ('wedding/our-wedding_7669425236_o Medium.jpeg', {'2297', '2296'}), ('wedding/our-wedding_7667903494_o Medium.jpeg', set()), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'121'}), ('wedding/our-wedding_7667977420_o Medium.jpeg', {'306'}), ('wedding/our-wedding_7668036458_o Medium.jpeg', {'427'}), ('wedding/our-wedding_7668052228_o Medium.jpeg', {'470'})]"
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",Edit,wedding,CCE,0.475,1.2300909341416400,27.203125,SmartLabel,TRUE,6.090922825038430,4.353345077484850,14,1,2,"[2.4994764924049377, 1.649738471955061]","[('wedding/our-wedding_7669224504_o Medium.jpeg', {'1881'}), ('wedding/our-wedding_7669092256_o Medium.jpeg', {'1643'}), ('wedding/our-wedding_7667886840_o Medium.jpeg', {'113'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'120'})]"
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",Search,wedding,CCE,0.475,1.2300909341416400,27.203125,SmartLabel,TRUE,5.235504977405070,0.21500002592802000,1,1,0,[],"[('wedding/our-wedding_7668472586_o Medium.jpeg', {'853'}), ('wedding/our-wedding_7669135388_o Medium.jpeg', {'1729'})]"
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",Search,wedding,CCE,0.475,1.230090934141640,27.203125,SmartLabel,TRUE,7.685736056417230,0.13387198001146300,1,1,0,[],"[('wedding/our-wedding_7668981368_o Medium.jpeg', {'1322', '1326'}), ('wedding/our-wedding_7667901558_o Medium.jpeg', {'167'})]"
