GT Program,Type,Benchmark Info,Semantics,Delta,Avg. Per Component Pred. Set Size,Avg. Per Input Pred. Set Size,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round,Initial Examples
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",Edit,wedding,CCE,0.375,1.295191193511010,31.309375,SmartLabel,TRUE,5.356528997421270,28.049815114587500,3875,1,4,"[12.427405770868063, 13.946625530719757, 0.9448729604482651, 0.48411623015999794]","[('wedding/our-wedding_7667960846_o Medium.jpeg', {'255', '254'}), ('wedding/our-wedding_7667990430_o Medium.jpeg', {'299'}), ('wedding/our-wedding_7669155316_o Medium.jpeg', {'1551'}), ('wedding/our-wedding_7669245932_o Medium.jpeg', {'1643', '1641', '1642'}), ('wedding/our-wedding_7667858606_o Medium.jpeg', set()), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'115', '116'})]"
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",Edit,wedding,CCE,0.375,1.295191193511010,31.309375,SmartLabel,TRUE,6.736808810383080,17.021195027977200,8590,1,4,"[13.117599852383137, 2.311768811196089, 0.978258952498436, 0.4449429176747799]","[('wedding/our-wedding_7667901558_o Medium.jpeg', {'159', '160'}), ('wedding/our-wedding_7667875916_o Medium.jpeg', {'64'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', set()), ('wedding/our-wedding_7667895274_o Medium.jpeg', set()), ('wedding/our-wedding_7667856670_o Medium.jpeg', set()), ('wedding/our-wedding_7667907634_o Medium.jpeg', {'181'})]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",Search,wedding,CCE,0.375,1.295191193511010,31.309375,SmartLabel,TRUE,6.3495317324996000,73.09538706019520,97,7,22,"[9.751664441078901, 3.3225810527801514, 3.2054315954446793, 2.884771842509508, 2.850951325148344, 2.957405112683773, 2.658640816807747, 2.613143391907215, 1.4929797388613224, 1.3546500317752361, 1.3441868796944618, 1.4260311983525753, 1.5215043686330318, 1.5848255045711994, 1.6720854118466377, 1.659890603274107, 4.005513109266758, 8.234025206416845, 8.16624091938138, 0.7366148047149181, 8.127490371465683, 0.7363279834389687]","[('wedding/our-wedding_7668149796_o Medium.jpeg', {'715', '712'}), ('wedding/our-wedding_7669446920_o Medium.jpeg', {'2018', '2021'}), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1163', '1160', '1159', '1167'}), ('wedding/our-wedding_7669245932_o Medium.jpeg', set()), ('wedding/our-wedding_7668991988_o Medium.jpeg', {'1188', '1189', '1192'}), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668013044_o Medium.jpeg', set()), ('wedding/our-wedding_7668052228_o Medium.jpeg', set()), ('wedding/our-wedding_7668134904_o Medium.jpeg', set()), ('wedding/our-wedding_7668587988_o Medium.jpeg', set()), ('wedding/our-wedding_7668615172_o Medium.jpeg', set()), ('wedding/our-wedding_7668876442_o Medium.jpeg', {'972', '977'}), ('wedding/our-wedding_7668954596_o Medium.jpeg', {'1130', '1133'})]"
"Map(IsObject(Face), IsObject(Face), GetAbove)",Edit,wedding,CCE,0.375,1.295191193511010,31.309375,SmartLabel,TRUE,10.5091537758708,65.1610894240439,1206,1,12,"[14.566128205507994, 10.07256792858243, 7.978673882782459, 4.227091297507286, 3.4679463766515255, 3.681656990200281, 3.7429028302431107, 3.757365010678768, 3.683592051267624, 3.4531318955123425, 3.236030660569668, 3.191697932779789]","[('wedding/our-wedding_7669442380_o Medium.jpeg', {'2012', '2009'}), ('wedding/our-wedding_7669076756_o Medium.jpeg', {'1424'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', set()), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1162', '1165', '1167'}), ('wedding/our-wedding_7667855224_o Medium.jpeg', set()), ('wedding/our-wedding_7668095250_o Medium.jpeg', {'579'}), ('wedding/our-wedding_7668991988_o Medium.jpeg', set()), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667907634_o Medium.jpeg', {'181'}), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668013044_o Medium.jpeg', set())]"
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",Edit,wedding,CCE,0.375,1.295191193511010,31.309375,SmartLabel,TRUE,6.054380964487790,13.633762557059500,184,1,3,"[11.176966950297356, 1.5219818651676178, 0.7625171951949596]","[('wedding/our-wedding_7667907634_o Medium.jpeg', {'181'}), ('wedding/our-wedding_7669213072_o Medium.jpeg', {'1607'}), ('wedding/our-wedding_7669245932_o Medium.jpeg', set()), ('wedding/our-wedding_7668916354_o Medium.jpeg', {'1045'}), ('wedding/our-wedding_7668095250_o Medium.jpeg', {'579'})]"
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",Edit,wedding,CCE,0.375,1.295191193511010,31.309375,SmartLabel,TRUE,6.1890121176838900,0.26935557276010500,1,1,0,[],"[('wedding/our-wedding_7668015714_o Medium.jpeg', {'343', '345'}), ('wedding/our-wedding_7669326520_o Medium.jpeg', {'1777', '1780', '1782', '1775', '1773'})]"
"Intersection[Smile, EyesOpen]",Search ,wedding,CCE,0.375,1.2951911935110100,31.309375000000000,SmartLabel,TRUE,12.13510000705720,155.14374588429900,5426,1,13,"[13.97270529344678, 11.980059824883938, 10.953432135283947, 11.53680394217372, 12.474552534520626, 21.841490358114243, 19.470601089298725, 21.607269015163183, 19.261801045387983, 2.564941208809614, 4.642793383449316, 2.3786692023277283, 2.3379769548773766]","[('wedding/our-wedding_7669409648_o Medium.jpeg', {'1963', '1964'}), ('wedding/our-wedding_7669224504_o Medium.jpeg', {'1631', '1629'}), ('wedding/our-wedding_7667897636_o Medium.jpeg', {'149'}), ('wedding/our-wedding_7669031674_o Medium.jpeg', set()), ('wedding/our-wedding_7669155316_o Medium.jpeg', {'1558', '1557'}), ('wedding/our-wedding_7667855224_o Medium.jpeg', set()), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1162', '1163', '1165', '1166'}), ('wedding/our-wedding_7667907634_o Medium.jpeg', set()), ('wedding/our-wedding_7669146078_o Medium.jpeg', {'1531'}), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'119'}), ('wedding/our-wedding_7667977420_o Medium.jpeg', {'283'}), ('wedding/our-wedding_7668013044_o Medium.jpeg', {'339'})]"
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",Edit,wedding,CCE,0.375,1.295191193511010,31.309375,SmartLabel,TRUE,8.274128835648300,15.363428175449400,533,1,3,"[11.114921774715185, 2.3114734925329685, 1.7115074656903744]","[('wedding/our-wedding_7669224504_o Medium.jpeg', {'1630'}), ('wedding/our-wedding_7669092256_o Medium.jpeg', {'1448'}), ('wedding/our-wedding_7669245932_o Medium.jpeg', set()), ('wedding/our-wedding_7667883538_o Medium.jpeg', {'98'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'118'})]"
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",Search,wedding,CCE,0.375,1.295191193511010,31.309375000000000,SmartLabel,TRUE,5.46059537306428,0.23373888432979600,1,1,0,[],"[('wedding/our-wedding_7668472586_o Medium.jpeg', {'727'}), ('wedding/our-wedding_7669135388_o Medium.jpeg', {'1511'})]"
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",Search,wedding,CCE,0.375,1.2951911935110100,31.309375,SmartLabel,TRUE,8.495907932519910,20.099036492407300,220,1,5,"[8.221495985984802, 2.8654265999794006, 2.0241056978702545, 3.3277325220406055, 3.5049626864492893]","[('wedding/our-wedding_7668981368_o Medium.jpeg', {'1163', '1167'}), ('wedding/our-wedding_7667901558_o Medium.jpeg', {'160'}), ('wedding/our-wedding_7668991988_o Medium.jpeg', {'1192'}), ('wedding/our-wedding_7667897636_o Medium.jpeg', {'149'}), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668013044_o Medium.jpeg', {'339'})]"
