GT Program,Benchmark Info,Semantics,Delta,Avg. Per Component Pred. Set Size,Avg. Per Input Pred. Set Size,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round,Initial Examples
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",wedding,CCE,0.325,1.3173271622794331,40.825,SmartLabel,True,5.983358208090067,19.910928178578615,2335,1,3,"[18.224900033324957, 0.7771266959607601, 0.578110758215189]","[('wedding/our-wedding_7667960846_o Medium.jpeg', {'255', '254'}), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1153', '1158', '1152'}), ('wedding/our-wedding_7669155316_o Medium.jpeg', {'1529'}), ('wedding/our-wedding_7667858606_o Medium.jpeg', set()), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'115', '116'})]"
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",wedding,CCE,0.325,1.3173271622794331,40.825,SmartLabel,True,6.373881544917822,29.13551974669099,7309,1,2,"[14.786914303898811, 14.119871143251657]","[('wedding/our-wedding_7667901558_o Medium.jpeg', {'159', '160'}), ('wedding/our-wedding_7667875916_o Medium.jpeg', {'64'}), ('wedding/our-wedding_7667858606_o Medium.jpeg', set()), ('wedding/our-wedding_7669220304_o Medium.jpeg', set())]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",wedding,CCE,0.325,1.3173271622794331,40.825,SmartLabel,True,6.073011305183172,2.26437733694911,5,1,2,"[1.3498703800141811, 0.7534345202147961]","[('wedding/our-wedding_7668149796_o Medium.jpeg', {'712', '715'}), ('wedding/our-wedding_7669446920_o Medium.jpeg', {'1969', '1972'}), ('wedding/our-wedding_7667880240_o Medium.jpeg', set()), ('wedding/our-wedding_7668045644_o Medium.jpeg', set())]"
"Map(IsObject(Face), IsObject(Face), GetAbove)",wedding,CCE,0.325,1.3173271622794331,40.825,SmartLabel,True,8.517801400274038,69.28722794726491,735,1,9,"[20.567905202507973, 22.21999517083168, 16.171288534998894, 2.9050593450665474, 1.4967440590262413, 1.4985287860035896, 1.5312100946903229, 1.3839536756277084, 1.3685436323285103]","[('wedding/our-wedding_7669442380_o Medium.jpeg', {'1960', '1963'}), ('wedding/our-wedding_7669076756_o Medium.jpeg', {'1402'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', set()), ('wedding/our-wedding_7667895274_o Medium.jpeg', set()), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1162', '1167', '1165'}), ('wedding/our-wedding_7668095250_o Medium.jpeg', {'579'}), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668013044_o Medium.jpeg', set())]"
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",wedding,CCE,0.325,1.3173271622794331,40.825,SmartLabel,True,6.884308155626059,27.528100784868002,214,1,4,"[12.99543222412467, 6.573536761105061, 6.497294504195452, 1.1321521401405334]","[('wedding/our-wedding_7667907634_o Medium.jpeg', {'181'}), ('wedding/our-wedding_7669213072_o Medium.jpeg', {'1585'}), ('wedding/our-wedding_7668916354_o Medium.jpeg', {'1045'}), ('wedding/our-wedding_7667855224_o Medium.jpeg', set()), ('wedding/our-wedding_7668095250_o Medium.jpeg', {'579'}), ('wedding/our-wedding_7668045644_o Medium.jpeg', set())]"
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",wedding,CCE,0.325,1.3173271622794331,40.824999999999996,SmartLabel,True,6.773247294127941,0.37565670162439346,1,1,0,[],"[('wedding/our-wedding_7668015714_o Medium.jpeg', {'343', '345'}), ('wedding/our-wedding_7669326520_o Medium.jpeg', {'1760', '1758', '1755', '1753', '1751'})]"
"Intersection[Smile, EyesOpen]",wedding,CCE,0.325,1.3173271622794331,40.824999999999996,SmartLabel,True,12.185214761644602,378.9565484970808,11950,1,17,"[17.04529571160674, 16.853312868624926, 16.885195083916187, 17.47895245999098, 19.52539810165763, 20.502968966960907, 22.45155866071582, 24.471457350999117, 24.245685182511806, 23.631795320659876, 26.36857395991683, 30.249071899801493, 31.004255384206772, 29.915933080017567, 28.200956985354424, 24.276798512786627, 5.666850462555885]","[('wedding/our-wedding_7669409648_o Medium.jpeg', {'1914', '1915'}), ('wedding/our-wedding_7669224504_o Medium.jpeg', {'1609', '1607'}), ('wedding/our-wedding_7668052228_o Medium.jpeg', {'437'}), ('wedding/our-wedding_7667895274_o Medium.jpeg', set()), ('wedding/our-wedding_7669146078_o Medium.jpeg', {'1509'}), ('wedding/our-wedding_7668083094_o Medium.jpeg', {'526', '528', '527'}), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1162', '1165', '1163', '1166'}), ('wedding/our-wedding_7668041282_o Medium.jpeg', {'410'}), ('wedding/our-wedding_7669155316_o Medium.jpeg', {'1536', '1535'}), ('wedding/our-wedding_7668991988_o Medium.jpeg', {'1192', '1191'}), ('wedding/our-wedding_7669312112_o Medium.jpeg', {'1724', '1727', '1729', '1721', '1722', '1726', '1731', '1725', '1723'}), ('wedding/our-wedding_7667858606_o Medium.jpeg', set()), ('wedding/our-wedding_7667854222_o Medium.jpeg', set()), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667886840_o Medium.jpeg', {'112', '113'}), ('wedding/our-wedding_7667855224_o Medium.jpeg', set()), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'119'}), ('wedding/our-wedding_7667893910_o Medium.jpeg', set())]"
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",wedding,CCE,0.325,1.3173271622794331,40.825,SmartLabel,True,9.42277467995882,15.643527161329985,302,1,2,"[14.45239606872201, 0.8875819109380245]","[('wedding/our-wedding_7669224504_o Medium.jpeg', {'1608'}), ('wedding/our-wedding_7669092256_o Medium.jpeg', {'1426'}), ('wedding/our-wedding_7669245932_o Medium.jpeg', set()), ('wedding/our-wedding_7667858606_o Medium.jpeg', {'16'})]"
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",wedding,CCE,0.325,1.3173271622794331,40.825,SmartLabel,True,6.10420735925436,40.05211853608489,90,1,7,"[12.615610476583242, 12.653088182210922, 10.624137334525585, 0.9624823667109013, 0.688164446502924, 0.49606627970933914, 1.8039849027991295]","[('wedding/our-wedding_7668472586_o Medium.jpeg', {'727'}), ('wedding/our-wedding_7669135388_o Medium.jpeg', {'1489'}), ('wedding/our-wedding_7667854222_o Medium.jpeg', set()), ('wedding/our-wedding_7668115516_o Medium.jpeg', {'639'}), ('wedding/our-wedding_7669220304_o Medium.jpeg', set()), ('wedding/our-wedding_7668052228_o Medium.jpeg', {'437'}), ('wedding/our-wedding_7668516242_o Medium.jpeg', set()), ('wedding/our-wedding_7668542548_o Medium.jpeg', {'787'}), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1165'})]"
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",wedding,CCE,0.325,1.3173271622794331,40.825,SmartLabel,True,8.277990456670523,25.071106776595116,92,1,6,"[12.815733723342419, 2.7197435460984707, 1.8964272886514664, 1.5341817885637283, 2.8778755590319633, 3.021579582244158]","[('wedding/our-wedding_7668981368_o Medium.jpeg', {'1167', '1163'}), ('wedding/our-wedding_7667901558_o Medium.jpeg', {'160'}), ('wedding/our-wedding_7667907634_o Medium.jpeg', {'180'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', set()), ('wedding/our-wedding_7668045644_o Medium.jpeg', set()), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668013044_o Medium.jpeg', {'339'})]"
"Intersection[IsObject(Face), Complement(Smile)]",wedding,CCE,0.325,1.3173271622794331,40.824999999999996,SmartLabel,True,11.392120394855738,40.677818823605776,157,1,4,"[20.884541053324938, 15.611847028136253, 3.3374828100204468, 0.6562553755939007]","[('wedding/our-wedding_7669152422_o Medium.jpeg', {'1525', '1526'}), ('wedding/our-wedding_7668635930_o Medium.jpeg', {'919', '917'}), ('wedding/our-wedding_7667860764_o Medium.jpeg', set()), ('wedding/our-wedding_7668472586_o Medium.jpeg', set()), ('wedding/our-wedding_7668074942_o Medium.jpeg', {'499', '498'}), ('wedding/our-wedding_7667858606_o Medium.jpeg', {'16'})]"
"Union[IsObject(Glasses), Intersection[Smile, EyesOpen]]",wedding,CCE,0.325,1.3173271622794331,40.824999999999996,SmartLabel,True,7.813746154308319,67.36906400322914,3809,25,11,"[13.868180122226477, 11.73069116473198, 7.626571297645569, 6.746612727642059, 7.024959109723568, 5.5866933055222034, 4.653677389025688, 6.805500082671642, 1.1830625161528587, 1.9708534441888332, 0.16164973378181458]","[('wedding/our-wedding_7669135388_o Medium.jpeg', {'1489', '1490'}), ('wedding/our-wedding_7669242588_o Medium.jpeg', {'1617'}), ('wedding/our-wedding_7668991988_o Medium.jpeg', {'1190', '1191', '1192'}), ('wedding/our-wedding_7667895274_o Medium.jpeg', {'139'}), ('wedding/our-wedding_7667907634_o Medium.jpeg', {'178'}), ('wedding/our-wedding_7667873202_o Medium.jpeg', {'51', '50'}), ('wedding/our-wedding_7668045644_o Medium.jpeg', {'419', '416', '417', '418'}), ('wedding/our-wedding_7668106286_o Medium.jpeg', set()), ('wedding/our-wedding_7669280110_o Medium.jpeg', {'1668', '1667', '1669'}), ('wedding/our-wedding_7669446920_o Medium.jpeg', {'1971', '1970', '1972'}), ('wedding/our-wedding_7669481074_o Medium.jpeg', {'2014'})]"
"Map(Map(IsObject(Face), IsObject(Face), GetRight), IsObject(Face), GetRight)",wedding,CCE,0.325,1.3173271622794331,40.825,SmartLabel,True,7.1086818017065525,13.330430172383785,29,1,4,"[7.694813594222069, 3.3545368053019047, 1.3458162434399128, 0.6767681129276752]","[('wedding/our-wedding_7668901928_o Medium.jpeg', {'1028'}), ('wedding/our-wedding_7669405174_o Medium.jpeg', {'1906'}), ('wedding/our-wedding_7667890340_o Medium.jpeg', {'123'}), ('wedding/our-wedding_7668033238_o Medium.jpeg', set()), ('wedding/our-wedding_7667888240_o Medium.jpeg', set()), ('wedding/our-wedding_7667856670_o Medium.jpeg', set())]"
"Union[EyesOpen, Intersection[IsObject(Face), Complement(MouthOpen)]]",wedding,CCE,0.325,1.3173271622794331,40.825,SmartLabel,True,13.022665549069643,63.8978396654129,14843,1,5,"[21.428089268505573, 14.559295728802681, 13.583527829498053, 13.448183037340641, 0.5835156477987766]","[('wedding/our-wedding_7669386434_o Medium.jpeg', {'1877', '1876'}), ('wedding/our-wedding_7669009912_o Medium.jpeg', {'1237', '1236'}), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1167', '1163', '1165', '1162', '1164', '1166'}), ('wedding/our-wedding_7668507896_o Medium.jpeg', {'759'}), ('wedding/our-wedding_7667926596_o Medium.jpeg', {'239'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'119'}), ('wedding/our-wedding_7667858606_o Medium.jpeg', set())]"
