GT Program,Benchmark Info,Semantics,Delta,Avg. Per Component Pred. Set Size,Avg. Per Input Pred. Set Size,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round
(length (filter (curry le 5) (map (curry plus 1) (map_imgs pred_int input-list)))),,CCE,0.00375,2.88,67.55,SmartLabel,True,9.295185539871454,39.74720765277743,491,61,3,"[21.263323668390512, 6.378229536116123, 2.0816377587616444]"
(fold max 0  (map (curry plus (apply pred_int input-img)) (filter (curry le 9) (map_imgs pred_int input-list)))),,CCE,0.00375,2.88,67.55,SmartLabel,True,318.4671455733478,336.4553323164582,2232,40,22,"[13.155594892799854, 20.961174063384533, 14.047124300152063, 11.13480793684721, 11.018012247979641, 11.337139572948217, 7.317732583731413, 7.993149768561125, 8.867967188358307, 4.142883233726025, 4.336560897529125, 4.235299859195948, 5.865942765027285, 12.37729237601161, 12.443520799279213, 10.636596228927374, 23.011691577732563, 34.310012832283974, 33.17599744349718, 32.7753873616457, 25.44866183027625, 22.951273567974567]"
(fold plus 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 9) (map_imgs pred_int input-list)))),,CCE,0.00375,2.8800000000000003,67.55,SmartLabel,True,11.484929729253054,24.48509357124567,276,6,2,"[22.536523398011923, 0.7279027663171291]"
(length (filter (curry ge (apply pred_int input-img)) (map (curry mult 2)  (map_imgs pred_int input-list)))),,CCE,0.00375,2.88,67.55,SmartLabel,True,6.306895740330219,27.297639079391956,485,1,5,"[9.107122972607613, 6.509748321026564, 10.74595059081912, 0.6037862189114094, 0.1404937207698822]"
(fold max 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 2)  (map_imgs pred_int input-list)))),,CCE,0.00375,2.88,67.55,SmartLabel,True,15.469261720776558,14.630861766636372,837,1,2,"[13.148752301931381, 1.2870639227330685]"
(fold plus 0 (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.00375,2.8799999999999994,67.55,SmartLabel,True,9.104722239077091,31.474579714238644,581,7,8,"[10.165308859199286, 6.509753983467817, 2.7946014925837517, 3.450436446815729, 1.7574654556810856, 2.5552127100527287, 1.6949665285646915, 1.1512319333851337]"
(fold mult 1 (filter (curry le (apply pred_int input-img)) (map (curry mult 3) (map_imgs pred_int input-list)))),,CCE,0.00375,2.8799999999999994,67.55,SmartLabel,True,7.5426543317735195,13.31449894234538,1089,1,3,"[6.826514456421137, 6.065458659082651, 0.21560105308890343]"
(length (filter (curry le 8) (filter (curry ge 8) (map_imgs pred_int input-list)))),,CCE,0.00375,2.88,67.55,SmartLabel,True,5.92994624376297,15.233938816934824,267,2,5,"[6.662307839840651, 6.179710704833269, 1.2451351396739483, 0.667425025254488, 0.1632458046078682]"
(fold plus (apply pred_int input-img) (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.00375,2.88,67.55,SmartLabel,True,278.3491306640208,24.347933501005173,1090,7,5,"[10.014915686100721, 7.588848955929279, 2.1919453367590904, 2.10599559918046, 0.9016791954636574]"
(fold plus 0 (map (curry mult 2) (map_imgs pred_int input-list))),,CCE,0.00375,2.88,67.54999999999998,SmartLabel,True,6.402504902333021,46.739495769143105,188,13,2,"[42.83572918921709, 1.3965554386377335]"
(fold max (apply pred_int input-img) (filter (curry ge 9) (map_imgs pred_int input-list))),,CCE,0.00375,2.8799999999999994,67.54999999999998,SmartLabel,True,6.309756383299828,14.441825862973928,141,47,1,[4.790952559560537]
(fold plus 0 (map (curry plus (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.00375,2.8799999999999994,67.54999999999998,SmartLabel,True,14.383186642080545,16.402860444039106,2152,6,3,"[9.198032222688198, 5.52859827876091, 0.408309493213892]"
(length (filter (curry le (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.00375,2.88,67.54999999999998,SmartLabel,True,7.640682723373175,63.252444453537464,680,7,28,"[9.188068084418774, 3.766646534204483, 1.6409173235297203, 1.489683486521244, 0.7198547534644604, 0.5355402901768684, 0.6128285527229309, 0.550354789942503, 0.5463023744523525, 0.5047461278736591, 0.9814073741436005, 2.5300854556262493, 2.6182564981281757, 2.9541326761245728, 3.078330025076866, 3.1283633522689342, 3.153728250414133, 3.1871126890182495, 3.3817254565656185, 3.116668913513422, 3.3043613769114017, 3.31493479013443, 4.112380534410477, 1.8560331910848618, 1.2476579956710339, 0.9202442169189453, 0.6566328480839729, 0.15490448847413063]"
(fold mult 1 (map (curry mult 7) (map_imgs pred_int input-list))),,CCE,0.00375,2.88,67.54999999999998,SmartLabel,True,5.327577102929354,2.2790211737155914,12,10,1,[0.4321058951318264]
(length (filter (curry le 9) (filter (curry ge 5) (map_imgs pred_int input-list)))),,CCE,0.00375,2.8800000000000003,67.54999999999998,SmartLabel,True,4.723627217113972,26.12713484466076,562,59,3,"[6.3637927286326885, 6.587431777268648, 3.504782270640135]"
(fold max 0 (filter (curry le 2) (map_imgs pred_int input-list))),,CCE,0.00375,2.88,67.55,SmartLabel,True,11.253652106970549,48.27191588282585,664,26,9,"[6.498269151896238, 8.434081003069878, 3.8127128928899765, 1.8675046749413013, 4.378813311457634, 4.40178494900465, 4.382889650762081, 4.909898780286312, 5.1299454011023045]"
(fold plus 0 (filter (curry ge 8) (map_imgs pred_int input-list))),,CCE,0.00375,2.88,67.55,SmartLabel,True,7.469356320798397,49.484062034636736,10709,41,21,"[9.78795462846756, 6.560116928070784, 6.208552300930023, 2.8639915473759174, 3.734794981777668, 2.9239034354686737, 1.8865576647222042, 1.6805460378527641, 1.037391360849142, 3.3124478720128536, 1.3031259663403034, 0.5474932454526424, 0.7985615879297256, 0.5778999477624893, 0.55218505859375, 0.7189573682844639, 0.9726505428552628, 0.837122768163681, 2.109954886138439, 0.7876698225736618, 0.1876118741929531]"
(fold max 0 (map (curry mult 2) (map_imgs pred_int input-list))),,CCE,0.00375,2.8800000000000003,67.55,SmartLabel,True,89.14055798202753,102.95503750815988,3937,51,8,"[20.1392861045897, 9.519013531506062, 5.028365917503834, 6.152900096029043, 4.79249232262373, 7.312299579381943, 20.720265984535217, 20.832588590681553]"
(fold max 0 (map (curry mult 2) (filter (curry ge 5) (map_imgs pred_int input-list)))),,CCE,0.00375,2.8800000000000003,67.55,SmartLabel,True,23.60153804346919,23.065536677837372,3118,2,4,"[20.95771324634552, 1.182774804532528, 0.34061259403824806, 0.20926512405276299]"
