GT Program,Benchmark Info,Semantics,Delta,Avg. Per Component Pred. Set Size,Avg. Per Input Pred. Set Size,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round
(length (filter (curry le 5) (map (curry plus 1) (map_imgs pred_int input-list)))),,CCE,0.00425,2.5975,43.83,SmartLabel,True,8.293966080993414,18.062688745558262,485,61,3,"[6.349323824048042, 3.5507408156991005, 1.6543896161019802]"
(fold max 0  (map (curry plus (apply pred_int input-img)) (filter (curry le 9) (map_imgs pred_int input-list)))),,CCE,0.00425,2.5975,43.83,SmartLabel,True,120.17424392327666,122.99409248307347,1825,40,15,"[9.770330779254436, 18.18467829748988, 10.323141541332006, 10.240299500524998, 6.109348513185978, 6.52367914840579, 7.2626931220293045, 2.418711058795452, 2.201990358531475, 3.018956534564495, 1.5064496397972107, 1.172473981976509, 9.053425416350365, 16.021814465522766, 15.757688101381063]"
(fold plus 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 9) (map_imgs pred_int input-list)))),,CCE,0.00425,2.5975,43.830000000000005,SmartLabel,True,8.020197808742523,15.26164859905839,176,6,2,"[14.156394273042679, 0.32500941678881645]"
(length (filter (curry ge (apply pred_int input-img)) (map (curry mult 2)  (map_imgs pred_int input-list)))),,CCE,0.00425,2.5975,43.83,SmartLabel,True,6.2873398549854755,16.244125489145517,485,1,5,"[7.795002445578575, 4.493075102567673, 3.3539441116154194, 0.3079908452928066, 0.170645572245121]"
(fold max 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 2)  (map_imgs pred_int input-list)))),,CCE,0.00425,2.5975,43.83,SmartLabel,True,15.493279159069061,7.459311384707689,837,1,2,"[6.958848837763071, 0.3735704608261585]"
(fold plus 0 (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.00425,2.5975,43.82999999999999,SmartLabel,True,7.030967395752668,17.693149629980326,580,7,6,"[7.252180874347687, 6.004001498222351, 1.6357760168612003, 0.8130388148128986, 0.5527327731251717, 0.5360347218811512]"
(fold mult 1 (filter (curry le (apply pred_int input-img)) (map (curry mult 3) (map_imgs pred_int input-list)))),,CCE,0.00425,2.5975,43.82999999999999,SmartLabel,True,6.862690679728985,12.896887242794037,906,1,2,"[7.953431099653244, 4.810704346746206]"
(length (filter (curry le 8) (filter (curry ge 8) (map_imgs pred_int input-list)))),,CCE,0.00425,2.5975,43.83,SmartLabel,True,6.027950387448072,9.108970880508423,267,2,5,"[5.4835098795592785, 2.344138626009226, 0.6658889092504978, 0.26688675582408905, 0.14246557280421257]"
(fold plus (apply pred_int input-img) (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.00425,2.5975,43.83,SmartLabel,True,279.0519170463085,19.889125507324934,1014,7,5,"[9.24279585853219, 6.965439919382334, 1.2726571522653103, 0.7331362590193748, 0.6802159026265144]"
(fold plus 0 (map (curry mult 2) (map_imgs pred_int input-list))),,CCE,0.00425,2.5975,43.83,SmartLabel,True,5.01888657361269,3.311951331794262,51,13,1,[1.737900946289301]
(fold max (apply pred_int input-img) (filter (curry ge 9) (map_imgs pred_int input-list))),,CCE,0.00425,2.5975,43.82999999999999,SmartLabel,True,5.855022680014372,9.69739881157875,141,47,1,[3.9223806634545326]
