GT Program,Benchmark Info,Semantics,Delta,Avg. Per Component Pred. Set Size,Avg. Per Input Pred. Set Size,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round
(length (filter (curry ge 3) (map_imgs pred_int input-list))),,CCE,0.004,2.727500000000001,53.970000000000006,SmartLabel,True,45.673775248229504,22.36046976223588,380,60,3,"[8.570869445800781, 3.5790172666311264, 2.249507274478674]"
(length (filter (curry le (apply pred_int input-img)) (map (curry plus 2) (map_imgs pred_int input-list)))),,CCE,0.004,2.727500000000001,53.970000000000006,SmartLabel,True,7.33756610006094,19.674230191856623,2256,1,5,"[9.750650320202112, 7.514896396547556, 1.9696890749037266, 0.19397902488708496, 0.09042825177311897]"
(length (filter (curry le (apply pred_int input-img)) (map (curry plus 1) (map_imgs pred_int input-list)))),,CCE,0.004,2.7275000000000014,53.97,SmartLabel,True,7.149792056530714,29.519291695207357,749,1,6,"[11.674664739519358, 11.841693561524153, 4.724145341664553, 0.7447328753769398, 0.23955832794308662, 0.1448058784008026]"
(fold plus 1 (map (curry max 8) (filter (curry ge 4) (map_imgs pred_int input-list)))),,CCE,0.004,2.7275,53.970000000000006,SmartLabel,True,19.830006182193756,11.782374732196331,788,1,3,"[8.876134004443884, 2.6436226665973663, 0.11874765530228615]"
(fold plus 0 (filter (curry le (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.004,2.7275,53.97,SmartLabel,True,23.73200825229287,74.23787016049027,2538,8,28,"[10.890774816274643, 2.9711934030056, 0.9761025831103325, 0.41582217440009117, 0.43022263795137405, 0.7623549401760101, 0.8031710609793663, 1.269297581166029, 2.7911850698292255, 3.2451577708125114, 3.4361886233091354, 3.430697750300169, 3.5591145902872086, 3.7304988503456116, 4.109682101756334, 4.104760017246008, 5.028356343507767, 5.023084752261639, 5.012008547782898, 4.704472824931145, 2.4158523865044117, 1.3564865663647652, 1.0810491368174553, 0.9373088702559471, 0.9231009669601917, 0.6426029279828072, 0.06514812260866165, 0.12160500511527061]"
(fold mult 1 (map (curry max 1) (map_imgs pred_int input-list))),,CCE,0.004,2.7275,53.96999999999999,SmartLabel,True,5.938873287290335,18.458257626742125,136,43,2,"[10.475283853709698, 1.5727801471948624]"
(fold mult 1 (filter (curry ge 2 ) (filter (curry le 4) (map_imgs pred_int input-list)))),,CCE,0.004,2.7275000000000005,53.96999999999999,SmartLabel,True,4.501401416957378,9.369612086564302,181,6,2,"[6.457336291670799, 2.0204222835600376]"
(fold plus 0 (map (curry mult 3) (map_imgs pred_int input-list))),,CCE,0.004,2.7275000000000005,53.969999999999985,SmartLabel,True,4.002363611012697,3.6123998798429966,47,14,1,[1.5031295865774155]
(length (filter (curry ge 1) (filter (curry le 9) (map_imgs pred_int input-list)))),,CCE,0.004,2.7275000000000005,53.969999999999985,SmartLabel,True,21.81595493108034,64.20073304697871,6641,94,5,"[17.08734220266342, 11.66278264299035, 10.022546909749508, 6.353098925203085, 6.219823554158211]"
(fold plus 0 (filter (curry ge 3) (map_imgs pred_int input-list))),,CCE,0.004,2.7275000000000005,53.96999999999998,SmartLabel,True,18.27219168841839,15.113205414265394,8431,21,2,"[10.000150229781866, 1.9770343378186226]"
(length (filter (curry ge 3) (map (curry plus 1) (map_imgs pred_int input-list)))),,CCE,0.004,2.7275000000000005,53.96999999999998,SmartLabel,True,13.910080011934042,36.260820526629686,1004,71,4,"[6.908380381762981, 13.74637408927083, 2.6154705844819546, 3.4959101900458336]"
(fold plus 0 (map (curry plus 2) (map (curry mult (apply pred_int input-img)) (map_imgs pred_int input-list)))),,CCE,0.004,2.7274999999999996,53.970000000000006,SmartLabel,True,6.52643408998847,2.598848734050989,15,7,2,"[0.790219072252512, 0.6634415797889233]"
(fold max 0 (filter (curry le 9) (map_imgs pred_int input-list))),,CCE,0.004,2.7274999999999996,53.970000000000006,SmartLabel,True,5.164995867758989,146.70975397527218,6885,131,9,"[8.885223064571619, 7.1428564712405205, 7.147754184901714, 19.390307027846575, 9.226783577352762, 6.622921407222748, 10.84713313728571, 29.980301089584827, 30.36805620789528]"
(fold max 0 (filter (curry le (apply pred_int input-img)) (map (curry mult 5) (map_imgs pred_int input-list)))),,CCE,0.004,2.7274999999999996,53.97,SmartLabel,True,5.054142903536558,17.294073954224586,5460,1,5,"[7.948931381106377, 6.884720724076033, 1.307360839098692, 0.7370865195989609, 0.25170398503541946]"
(length (filter (curry le 5) (map (curry plus 1) (map_imgs pred_int input-list)))),,CCE-NoAbs,0.004,2.727499999999999,53.97,SmartLabelNoUB,True,50.032606922090054,238.4517672844231,491,61,3,"[133.68511393666267, 58.92233654484153, 37.5427237264812]"
(fold max 0  (map (curry plus (apply pred_int input-img)) (filter (curry le 9) (map_imgs pred_int input-list)))),,CCE-NoAbs,0.004,2.727499999999999,53.96999999999999,SmartLabelNoUB,True,621.8059474304318,884.1591941714287,2161,40,17,"[141.96100613474846, 136.28493582084775, 82.42235370352864, 68.30526274442673, 67.87390141561627, 52.91423947736621, 52.81811962276697, 50.910230319947004, 35.30372058600187, 34.722486317157745, 33.08442563563585, 28.024765867739916, 24.1260226406157, 18.536215648055077, 17.938232388347387, 17.58045595139265, 17.40371422469616]"
(fold plus 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 9) (map_imgs pred_int input-list)))),,CCE-NoAbs,0.004,2.727499999999999,53.96999999999999,SmartLabelNoUB,True,37.0201632976532,155.03519378229976,253,6,3,"[138.85098176449537, 10.183830607682467, 5.034588139504194]"
(length (filter (curry ge (apply pred_int input-img)) (map (curry mult 2)  (map_imgs pred_int input-list)))),,CCE-NoAbs,0.004,2.7274999999999987,53.969999999999985,SmartLabelNoUB,True,10.206227079033852,255.92440795525908,489,1,5,"[130.47526288032532, 71.05788904801011, 47.480416752398014, 4.726623602211475, 2.03172155469656]"
(fold max 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 2)  (map_imgs pred_int input-list)))),,CCE-NoAbs,0.004,2.7274999999999987,53.969999999999985,SmartLabelNoUB,True,68.62249520048499,146.9734168946743,837,1,3,"[141.23625965416431, 4.1902040876448154, 1.3911699689924717]"
(fold plus 0 (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE-NoAbs,0.004,2.7274999999999996,53.97000000000001,SmartLabelNoUB,True,30.957867462188005,288.42825364694,580,7,6,"[129.07148725911975, 105.4188560321927, 28.235938902944326, 10.151251282542944, 8.701040994375944, 5.736497979611158]"
(fold mult 1 (filter (curry le (apply pred_int input-img)) (map (curry mult 3) (map_imgs pred_int input-list)))),,CCE-NoAbs,0.004,2.7274999999999996,53.970000000000006,SmartLabelNoUB,True,67.46609571948647,167.7224329598248,1094,1,3,"[127.2667367644608, 37.01485573872924, 3.275836154818535]"
(length (filter (curry le 8) (filter (curry ge 8) (map_imgs pred_int input-list)))),,CCE-NoAbs,0.004,2.7274999999999996,53.970000000000006,SmartLabelNoUB,True,70.93365480005741,189.10331723093987,270,2,4,"[120.71568213030696, 51.039506670087576, 13.271749798208475, 3.8211465291678905]"
(fold plus (apply pred_int input-img) (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE-NoAbs,0.004,2.727499999999999,53.97,SmartLabelNoUB,True,741.2524513155222,235.46357642486691,1090,7,4,"[136.04179178923368, 82.62833188846707, 9.37380662932992, 6.194470144808292]"
(fold plus 0 (map (curry mult 2) (map_imgs pred_int input-list))),,CCE-NoAbs,0.004,2.727499999999999,53.97,SmartLabelNoUB,True,17.091560550034046,70.57325164601207,86,13,2,"[59.30513859167695, 9.326765343546867]"
(fold max (apply pred_int input-img) (filter (curry ge 9) (map_imgs pred_int input-list))),,CCE-NoAbs,0.004,2.727499999999999,53.96999999999999,SmartLabelNoUB,True,12.73433281481266,96.49512156844139,141,47,1,[89.31876450777054]
(fold plus 0 (map (curry plus (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE-NoAbs,0.004,2.7274999999999987,53.96999999999999,SmartLabelNoUB,True,19.35712557658553,157.2401339598,1251,6,3,"[141.35677164047956, 9.787990972399712, 5.119432367384434]"
(length (filter (curry le (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE-NoAbs,0.004,2.7274999999999987,53.969999999999985,SmartLabelNoUB,True,54.483124647289515,331.8329968638718,544,7,25,"[124.61450897529721, 112.32557784765959, 9.884814124554396, 7.2647756189107895, 6.578104767948389, 5.836989436298609, 5.132700126618147, 4.858795568346977, 4.731550306081772, 4.72436985000968, 4.118515327572823, 4.087889287620783, 4.0166606567800045, 3.9781023375689983, 3.9278733357787132, 3.765320859849453, 3.635924644768238, 3.623586993664503, 3.297259520739317, 3.2778188064694405, 3.2056098356842995, 3.1762797981500626, 1.1565998457372189, 0.4877656325697899, 0.1250903196632862]"
(fold mult 1 (map (curry mult 7) (map_imgs pred_int input-list))),,CCE-NoAbs,0.004,2.7274999999999996,53.97000000000001,SmartLabelNoUB,True,5.9224739000201225,9.456908375024796,12,10,1,[7.981049135327339]
(length (filter (curry le 9) (filter (curry ge 5) (map_imgs pred_int input-list)))),,CCE-NoAbs,0.004,2.7274999999999996,53.97000000000001,SmartLabelNoUB,True,6.238638889044523,311.6604520380497,485,59,3,"[118.74007802829146, 115.39035181328654, 69.83997628092766]"
(fold max 0 (filter (curry le 2) (map_imgs pred_int input-list))),,CCE-NoAbs,0.004,2.727499999999999,53.970000000000006,SmartLabelNoUB,True,39.817384738475084,312.59534157812595,668,26,8,"[120.0216043703258, 79.00867046415806, 21.669006433337927, 17.9049565307796, 17.78215343877673, 17.764249697327614, 17.821906596422195, 17.074558556079865]"
(fold plus 0 (filter (curry ge 8) (map_imgs pred_int input-list))),,CCE-NoAbs,0.004,2.727499999999999,53.970000000000006,SmartLabelNoUB,True,16.158606112003326,643.3542994596064,10709,41,21,"[134.17262207716703, 128.81075467914343, 70.81962452456355, 54.18484527990222, 53.73913500085473, 50.98277639225125, 23.450402103364468, 21.434030890464783, 20.870267052203417, 13.76754430308938, 9.413221891969442, 8.67968287691474, 8.712592132389545, 8.196576587855816, 8.022279482334852, 7.706687789410353, 7.433284744620323, 6.292546451091766, 4.892613213509321, 1.306631714105606, 0.37160174176096916]"
(fold max 0 (map (curry mult 2) (map_imgs pred_int input-list))),,CCE-NoAbs,0.004,2.727499999999999,53.97,SmartLabelNoUB,True,281.1017061471939,720.4053604565561,3937,51,8,"[141.91024388745427, 137.4905194118619, 82.23517475649714, 73.7041807025671, 71.46646180003881, 70.82589292153716, 70.34297949075699, 65.65801350772381]"
(fold max 0 (map (curry mult 2) (filter (curry ge 5) (map_imgs pred_int input-list)))),,CCE-NoAbs,0.004,2.727499999999999,53.97,SmartLabelNoUB,True,83.6304895542562,172.3984594680369,3118,2,4,"[143.53934128582478, 20.671992298215628, 5.3369273245334625, 2.5559199079871178]"
(length (filter (curry ge 1) (map_imgs pred_int input-list))),,CCE-NoAbs,0.004,2.727499999999999,53.96999999999999,SmartLabelNoUB,True,113.44014582037926,415.9616844840348,1345,94,5,"[130.24789495766163, 95.66476009041071, 61.06319546699524, 58.26795686036348, 58.07633448764682]"
(fold mult 1 (map_imgs pred_int input-list)),,CCE-NoAbs,0.004,2.7274999999999987,53.96999999999999,SmartLabelNoUB,FAIL,11.986394073814154,8.383020758628845e-05,0,4,0,[]
(fold max 0 (map_imgs pred_int input-list)),,CCE-NoAbs,0.004,2.7274999999999996,53.97000000000001,SmartLabelNoUB,True,276.3451627418399,1045.4154161140323,1675,131,8,"[139.42729521542788, 137.36385958641768, 137.4300376586616, 128.97973700240254, 124.69734996184707, 123.62592601776123, 122.30120578408241, 114.61354585364461]"
(length (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE-NoAbs,0.004,2.7274999999999996,53.97000000000001,SmartLabelNoUB,True,128.98175179958344,254.04802807047963,681,6,21,"[130.30391074344516, 42.896636456251144, 7.244960032403469, 6.594393376260996, 5.892970319837332, 4.5562007538974285, 4.510405670851469, 4.309022895991802, 4.199471704661846, 4.167489655315876, 4.1308208256959915, 4.090616926550865, 4.09484189376235, 3.69986542314291, 3.584712404757738, 3.5496007800102234, 3.4444271735846996, 3.2370908111333847, 3.2030574679374695, 2.928544219583273, 2.857923459261656]"
(length (filter (curry le 0) (map_imgs pred_int input-list))),,CCE-NoAbs,0.004,2.727499999999999,53.970000000000006,SmartLabelNoUB,True,19.652440834790468,962.3684723041952,6776,115,24,"[133.88985162600875, 133.02402399480343, 109.81222529709339, 63.473941788077354, 61.62503330409527, 58.45424498617649, 57.12322596460581, 53.610414166003466, 52.06236424297094, 34.16228102892637, 23.409990429878235, 21.512801684439182, 21.501253057271242, 20.695619493722916, 20.29114144667983, 17.914283394813538, 16.42624954506755, 11.575740806758404, 10.39759599044919, 9.688270431011915, 8.558625884354115, 7.637286718934774, 6.934570826590061, 6.857594378292561]"
(fold max 0 (filter (curry ge 5) (map_imgs pred_int input-list))),,CCE-NoAbs,0.004,2.727499999999999,53.970000000000006,SmartLabelNoUB,True,112.70096321776509,434.20749909058213,6657,29,4,"[130.69303772225976, 127.91470682993531, 119.69259553402662, 51.66757196187973]"
(fold max 0 (filter (curry le (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE-NoAbs,0.004,2.727499999999999,53.970000000000006,SmartLabelNoUB,True,240.35900376737118,469.6401996091008,2731,8,29,"[137.56610864028335, 135.18403635546565, 64.23388433083892, 22.669423531740904, 9.462419208139181, 7.290238697081804, 7.248022060841322, 7.248182058334351, 7.180534932762384, 7.0875431671738625, 6.0422955341637135, 5.290922399610281, 5.246083129197359, 5.137001574039459, 5.072733759880066, 5.00919970870018, 4.820063333958387, 4.677350204437971, 4.673671346157789, 4.343172449618578, 4.242316834628582, 4.1752249374985695, 2.089928552508354, 1.0642055347561836, 0.7916155084967613, 0.748940609395504, 0.5604273341596127, 0.3756851963698864, 0.10833601281046867]"
(fold plus 0 (map (curry mult 6) (map_imgs pred_int input-list))),,CCE-NoAbs,0.004,2.727499999999999,53.970000000000006,SmartLabelNoUB,True,5.966378308832645,45.62414215132594,43,19,2,"[29.34792021661997, 13.443384893238544]"
(fold plus 0 (filter (curry ge 2) (map_imgs pred_int input-list))),,CCE-NoAbs,0.004,2.727499999999999,53.97000000000001,SmartLabelNoUB,True,13.75152686983347,274.61130963265896,2050,17,2,"[134.75994270294905, 137.3408696986735]"
(length (filter (curry ge (apply pred_int input-img)) (map (curry plus 4) (map_imgs pred_int input-list)))),,CCE-NoAbs,0.004,2.7274999999999987,53.97000000000001,SmartLabelNoUB,True,48.288536448031664,286.8925754353404,4305,1,5,"[129.7420180812478, 91.21117006614804, 61.695194363594055, 2.722244795411825, 1.368420023471117]"
