GT Program,Benchmark Info,Semantics,Delta,Avg. Per Component Pred. Set Size,Avg. Per Input Pred. Set Size,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round
(length (filter (curry le 5) (map (curry plus 1) (map_imgs pred_int input-list)))),,CCE,0.005,2.165,22.83,SmartLabel,True,8.106822863221169,10.123119659721851,387,61,2,"[5.008025024086237, 1.5534427799284458]"
(fold max 0  (map (curry plus (apply pred_int input-img)) (filter (curry le 9) (map_imgs pred_int input-list)))),,CCE,0.005,2.165,22.83,SmartLabel,True,42.1951046846807,32.325817327946424,1171,40,7,"[8.13567702844739, 8.195882588624954, 3.238662913441658, 3.316397286951542, 3.6304528638720512, 1.7474407814443111, 1.9389813169836998]"
(fold plus 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 9) (map_imgs pred_int input-list)))),,CCE,0.005,2.165,22.83,SmartLabel,True,5.44197890162468,3.0770986899733543,72,6,2,"[2.2973078191280365, 0.3486993573606014]"
(length (filter (curry ge (apply pred_int input-img)) (map (curry mult 2)  (map_imgs pred_int input-list)))),,CCE,0.005,2.165,22.83,SmartLabel,True,5.850954119116068,9.796100076287985,476,1,5,"[5.762562479823828, 2.6188193522393703, 1.0843017287552357, 0.19264459609985352, 0.07047450542449951]"
(fold max 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 2)  (map_imgs pred_int input-list)))),,CCE,0.005,2.165,22.83,SmartLabel,True,8.314527094364166,6.657680623233318,692,1,2,"[5.7797686830163, 0.8084537349641323]"
(fold plus 0 (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.005,2.1649999999999996,22.83,SmartLabel,True,5.77428800240159,12.593990735709667,528,7,5,"[5.57145194336772, 4.321313098073006, 1.2477516420185566, 0.5655968189239502, 0.3916201591491699]"
(fold mult 1 (filter (curry le (apply pred_int input-img)) (map (curry mult 3) (map_imgs pred_int input-list)))),,CCE,0.005,2.1649999999999996,22.830000000000002,SmartLabel,True,5.907803274691105,8.919529490172863,636,1,2,"[4.750975038856268, 4.095416754484177]"
(length (filter (curry le 8) (filter (curry ge 8) (map_imgs pred_int input-list)))),,CCE,0.005,2.165,22.83,SmartLabel,True,5.0696423798799515,2.920074988156557,96,2,3,"[2.311107464134693, 0.33872852474451065, 0.15975826606154442]"
(fold plus (apply pred_int input-img) (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.005,2.165,22.83,SmartLabel,FAIL,97.45880581438541,5.605593901127577,634,4,2,"[5.329285550862551, 0.2762477658689022]"
(fold plus 0 (map (curry mult 2) (map_imgs pred_int input-list))),,CCE,0.005,2.165,22.829999999999995,SmartLabel,True,4.74331384524703,2.123597390949726,50,13,1,[1.2695210501551628]
(fold max (apply pred_int input-img) (filter (curry ge 9) (map_imgs pred_int input-list))),,CCE,0.005,2.1649999999999996,22.829999999999995,SmartLabel,True,5.279911577701569,6.547256033867598,141,47,1,[3.1045271046459675]
(fold plus 0 (map (curry plus (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.005,2.1649999999999996,22.829999999999995,SmartLabel,True,5.082312643527985,3.1576528064906597,71,6,2,"[2.4610432162880898, 0.2592291422188282]"
(length (filter (curry le (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.005,2.1649999999999996,22.82999999999999,SmartLabel,True,6.017147466540337,21.343858912587166,475,7,17,"[4.674051847308874, 1.5838271342217922, 0.4282314404845238, 0.316292155534029, 0.2373511791229248, 0.28643378242850304, 1.1272851563990116, 1.1469591073691845, 1.2203573919832706, 1.2352438941597939, 1.4367462396621704, 1.431520752608776, 1.8198365978896618, 1.8093095533549786, 1.7058281414210796, 0.7548128217458725, 0.12929819151759148]"
(fold mult 1 (map (curry mult 7) (map_imgs pred_int input-list))),,CCE,0.005,2.1649999999999996,22.82999999999999,SmartLabel,True,5.6018539890646935,0.996865626424551,12,10,1,[0.3384751118719578]
(length (filter (curry le 9) (filter (curry ge 5) (map_imgs pred_int input-list)))),,CCE,0.005,2.1649999999999996,22.82999999999999,SmartLabel,True,4.24081427231431,9.881929881870747,359,59,2,"[4.198157753795385, 2.211078554391861]"
(fold max 0 (filter (curry le 2) (map_imgs pred_int input-list))),,CCE,0.005,2.165,22.83,SmartLabel,True,5.384787019342184,15.236276753246784,586,26,4,"[4.519295431673527, 7.084955163300037, 0.896313164383173, 1.0746150389313698]"
(fold plus 0 (filter (curry ge 8) (map_imgs pred_int input-list))),,CCE,0.005,2.165,22.83,SmartLabel,True,6.6320211589336395,24.815556060522795,10679,41,12,"[7.9961715415120125, 4.603744588792324, 2.7608684971928596, 2.207438550889492, 1.9304428026080132, 1.0488853938877583, 1.822673987597227, 0.36662977561354637, 0.34287848323583603, 0.5775166004896164, 0.4414581060409546, 0.6639659404754639]"
(fold max 0 (map (curry mult 2) (map_imgs pred_int input-list))),,CCE,0.005,2.165,22.83,SmartLabel,True,30.601851392537355,32.492762699723244,3392,51,5,"[8.617388244718313, 5.585540976375341, 3.527331680059433, 3.6474638395011425, 7.914617702364922]"
(fold max 0 (map (curry mult 2) (filter (curry ge 5) (map_imgs pred_int input-list)))),,CCE,0.005,2.165,22.829999999999995,SmartLabel,True,8.99567910656333,7.1671954318881035,2297,2,3,"[6.351564504206181, 0.5012653656303883, 0.17695754393935204]"
(length (filter (curry ge 1) (map_imgs pred_int input-list))),,CCE,0.005,2.165,22.829999999999995,SmartLabel,True,7.164614912122488,22.50789823010564,870,94,5,"[4.856499217450619, 3.432392433285713, 2.5848268941044807, 3.043398655951023, 2.96485074236989]"
(fold mult 1 (map_imgs pred_int input-list)),,CCE,0.005,2.165,22.829999999999995,SmartLabel,FAIL,4.629141226410866,8.337199687957764e-05,0,4,0,[]
(fold max 0 (map_imgs pred_int input-list)),,CCE,0.005,2.1649999999999996,22.829999999999995,SmartLabel,True,11.02724076807499,40.029432732611895,1125,131,4,"[5.501471895724535, 5.965284928679466, 6.776725679636002, 13.778240885585546]"
(length (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.005,2.1649999999999996,22.829999999999995,SmartLabel,True,28.476905308663845,11.781060129404068,681,6,14,"[5.026679962873459, 2.4176592864096165, 0.5138452909886837, 0.39139241725206375, 0.3529726415872574, 0.3332400880753994, 0.284670852124691, 0.28576862439513206, 0.2602803483605385, 0.23341859504580498, 0.26293180882930756, 0.23789166659116745, 0.22820644825696945, 0.6763205267488956]"
(length (filter (curry le 0) (map_imgs pred_int input-list))),,CCE,0.005,2.165,22.83,SmartLabel,True,5.142337389290333,79.03706058859825,5867,115,17,"[8.169175144284964, 7.451561789959669, 2.6930939331650734, 3.441411592066288, 2.792068786919117, 2.9720216765999794, 2.503299843519926, 4.924580633640289, 1.4729421623051167, 2.963814351707697, 6.26382464915514, 5.715579275041819, 5.817924328148365, 7.375433310866356, 6.97481619566679, 5.6487985253334045, 0.5943865031003952]"
(fold max 0 (filter (curry ge 5) (map_imgs pred_int input-list))),,CCE,0.005,2.165,22.83,SmartLabel,True,5.3161300383508205,23.400322422385216,5913,29,5,"[7.665788419544697, 4.5204892829060555, 4.395398039370775, 3.619090761989355, 1.3120738193392754]"
(fold max 0 (filter (curry le (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.005,2.165,22.830000000000002,SmartLabel,True,10.04425510764122,32.91914823278785,829,8,19,"[5.17797702178359, 4.481370329856873, 3.540637657046318, 1.0463284701108932, 0.3020785413682461, 0.2480647973716259, 0.22930273041129112, 0.34883857145905495, 1.437981192022562, 1.450598120689392, 1.5287780277431011, 1.5470099672675133, 1.820618562400341, 1.8487659208476543, 2.3290602080523968, 2.294219244271517, 2.161478314548731, 0.9561338871717453, 0.16933448240160942]"
(fold plus 0 (map (curry mult 6) (map_imgs pred_int input-list))),,CCE,0.005,2.165,22.830000000000002,SmartLabel,True,3.9443559497594833,3.8358851224184036,42,19,2,"[2.0905257165431976, 0.48687273263931274]"
(fold plus 0 (filter (curry ge 2) (map_imgs pred_int input-list))),,CCE,0.005,2.165,22.830000000000005,SmartLabel,True,8.016812171787024,14.274403717368841,1879,17,2,"[7.331516724079847, 5.810529228299856]"
(length (filter (curry ge (apply pred_int input-img)) (map (curry plus 4) (map_imgs pred_int input-list)))),,CCE,0.005,2.165,22.830000000000005,SmartLabel,True,5.2628969587385654,19.648182965815067,3392,1,4,"[6.957692995667458, 5.996006350964308, 6.26094888523221, 0.3660235218703747]"
(length (filter (curry ge (apply pred_int input-img)) (filter (curry le 7) (map_imgs pred_int input-list)))),,CCE,0.005,2.165,22.830000000000005,SmartLabel,True,28.633285235613585,6.326557449996471,789,1,4,"[4.990942273288965, 0.9383141882717609, 0.23709085956215858, 0.09499034658074379]"
(length (filter (curry ge 1) (map_imgs pred_int input-list))),,CCE,0.005,2.1650000000000005,22.83000000000001,SmartLabel,True,8.825929284095764,21.527184080332518,3230,94,4,"[6.023232474923134, 3.359248958528042, 3.0763920694589615, 3.103330660611391]"
(fold plus 0 (map (curry mult (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.005,2.165,22.83,SmartLabel,True,9.810269515961409,1.097423393279314,12,7,2,"[0.36460286378860474, 0.23049162700772285]"
(fold max 0 (map (curry plus (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.005,2.165,22.83,SmartLabel,True,7.303085248917341,20.525132317095995,339,40,7,"[6.110063329339027, 2.4879252538084984, 2.0561017878353596, 2.1074608489871025, 2.408424310386181, 1.4406954497098923, 1.8308314271271229]"
(length (filter (curry ge 4) (map_imgs pred_int input-list))),,CCE,0.005,2.1650000000000005,22.830000000000002,SmartLabel,True,7.91317643225193,13.3957296051085,696,58,4,"[4.364115934818983, 2.8251551128923893, 1.4374132044613361, 1.3730438500642776]"
(fold max 0 (map (curry plus 5) (map_imgs pred_int input-list))),,CCE,0.005,2.1650000000000005,22.830000000000002,SmartLabel,True,4.896707743406296,72.81631616875529,666,199,12,"[6.9662454798817635, 6.105301633477211, 9.31194158270955, 6.428230829536915, 5.700053635984659, 14.87828716263175, 11.491803716868162, 1.9559089541435242, 1.563471183180809, 2.5447275824844837, 1.4694889597594738, 1.3382613435387611]"
