GT Program,Type,Benchmark Info,Semantics,Delta,Avg. Per Component Pred. Set Size,Avg. Per Input Pred. Set Size,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round,Initial Examples
"Union[IsObject(Cat), IsObject(Face)]",Edit,cats,CCE,0.5,1.3355540196875700,30.95507449226900,SmartLabel,TRUE,6.331213925033810,22.614883221685900,12912,1,6,"[9.119148045778275, 3.229078631848097, 3.0774243362247944, 3.0756653398275375, 3.9179939329624176, 0.1843181923031807]","[('cats/n02870880_9461.JPEG', {'635'}), ('cats/n02121808_2581.JPEG', {'319'}), ('cats/n02121808_14813.JPEG', {'100', '101', '99'}), ('cats/n02121808_28174.JPEG', {'351'}), ('cats/n02121808_19888.JPEG', set()), ('cats/n02121808_246.JPEG', {'300', '299'}), ('cats/n02121808_1153.JPEG', set()), ('cats/n02121808_118.JPEG', {'34'})]"
"Union[IsObject(Cat), EyesOpen]",Search,cats,CCE,0.5,1.3498055877567400,30.075596061444400,SmartLabel,TRUE,5.867628902196880,28.965100411325700,12912,56,7,"[8.93949157372117, 3.2045175097882748, 3.022309359163046, 3.044903814792633, 3.0206079743802547, 3.038536161184311, 3.0517479479312897]","[('cats/n02121808_2112.JPEG', {'248'}), ('cats/n02121808_2581.JPEG', {'319'}), ('cats/n02121808_14813.JPEG', {'100', '99'}), ('cats/n02121808_246.JPEG', {'300', '299'}), ('cats/n02121808_118.JPEG', {'34'}), ('cats/n02121808_18978.JPEG', {'206', '204'}), ('cats/n02121808_27205.JPEG', {'341', '340'}), ('cats/n02121808_10623.JPEG', {'13'})]"
"Intersection[IsObject(Cat), Complement(Map(IsObject(Cat), IsObject(Cat), GetBelow))]",Search,cats,CCE,0.5,1.3631934244277800,29.24941935370010,SmartLabel,TRUE,5.730269838124510,89.70109592750670,12912,1,17,"[8.990008421242237, 4.400400884449482, 4.691121269017458, 4.937428284436464, 5.118635378777981, 5.3921091221272945, 5.344493184238672, 5.264159541577101, 5.5783644281327724, 6.0183655470609665, 9.479146301746368, 9.904184326529503, 9.685219965875149, 4.457558989524841, 0.14548489078879356, 0.13815004006028175, 0.13378551974892616]","[('cats/n02121808_3442.JPEG', {'373'}), ('cats/n02121808_2623.JPEG', {'327'}), ('cats/n02121808_14813.JPEG', {'99'}), ('cats/n02121808_118.JPEG', {'34'}), ('cats/n02121808_246.JPEG', set()), ('cats/cats.jpg', {'0'}), ('cats/n02121808_10623.JPEG', {'13'}), ('cats/n02121808_10793.JPEG', set()), ('cats/n02121808_111.JPEG', {'23'}), ('cats/n02121808_1451.JPEG', {'90'}), ('cats/n02121808_2559.JPEG', set()), ('cats/n02121808_14.JPEG', {'80'})]"
"Intersection[Map(IsObject(Cat), IsObject(Cat), GetRight), Map(IsObject(Cat), IsObject(Cat), GetLeft)]",Edit,cats,CCE,0.5,1.375793741294650,28.47184127582310,SmartLabel,TRUE,12.533752098679500,28.57315167412160,13198,1,5,"[14.615897245705128, 4.731600105762482, 3.387133188545704, 3.15323880687356, 2.654161859303713]","[('cats/n02121808_52.JPEG', {'515', '516'}), ('cats/n02121808_16252.JPEG', {'132', '134'}), ('cats/n02121808_14813.JPEG', set()), ('cats/n02121808_24823.JPEG', set()), ('cats/n02121808_1153.JPEG', set())]"
"Map(IsObject(Guitar), IsObject(Face), GetAbove)",Edit,festival,CCE,0.5,1.3742677107285200,28.432201795355600,SmartLabel,TIMEOUT,7.203743014484640,2400.0001174882100,164,7,102,"[10.478358805179596, 6.123604629188776, 5.8234635926783085, 5.26183195784688, 5.1938840337097645, 5.073752116411924, 3.0815133936703205, 3.0650340914726257, 3.059897154569626, 27.097702264785767, 26.83065978065133, 26.378405440598726, 26.253602139651775, 26.379884846508503, 26.371130868792534, 26.648392368108034, 26.412571270018816, 26.482567247003317, 26.482563950121403, 26.557458493858576, 26.610015358775854, 26.439986992627382, 26.306812070310116, 26.33490778133273, 26.27384151518345, 26.20105765014887, 26.115580808371305, 25.937322940677404, 25.98885889351368, 26.227956630289555, 25.98579340428114, 26.014594614505768, 26.095633655786514, 26.164049703627825, 25.968630015850067, 25.839489702135324, 25.93158257007599, 25.7229069955647, 25.630111698061228, 25.62335666269064, 25.517236292362213, 25.46679810807109, 25.475970931351185, 25.445277605205774, 25.456254310905933, 25.255530312657356, 25.381511509418488, 25.271068561822176, 25.306931130588055, 25.316988091915846, 25.31814907863736, 25.012203998863697, 25.275460988283157, 25.28762738034129, 25.162821657955647, 25.187529627233744, 25.142273388803005, 25.170963376760483, 25.192185524851084, 25.088782016187906, 25.128741662949324, 25.202006991952658, 25.706619147211313, 25.076057750731707, 25.115258567035198, 25.03820076212287, 25.07581327855587, 25.095834113657475, 25.02196205407381, 25.0333084911108, 24.850742354989052, 24.83987844735384, 24.850072018802166, 24.908982250839472, 24.889151144772768, 24.713404141366482, 24.714370612055063, 24.65651771053672, 24.619554795324802, 24.542779620736837, 24.43492428958416, 24.43014745786786, 24.410287480801344, 24.391871109604836, 24.418940503150225, 24.453217417001724, 24.46900023519993, 24.233204398304224, 24.166787981987, 23.9667933806777, 24.25384061038494, 24.208927236497402, 24.170842591673136, 24.089559830725193, 24.17610603943467, 24.16328877583146, 24.101759914308786, 24.130879569798708, 24.139040026813745, 24.117432665079832, 24.0917634293437, 24.08774396777153]","[('festival/aaron_rodriguez_treefort2017-363_34254689531_o Medium.jpeg', {'793'}), ('festival/aaron-rodriguez-treefort-2016-286_25678607453_o Medium.jpeg', {'93', '94'}), ('festival/aaron_rodriguez_treefort2017-230_33877627921_o Medium.jpeg', set()), ('festival/matthew-wordell-treefort2016-4616_25968630360_o Medium.jpeg', {'1665'}), ('festival/aaron_rodriguez_treefort2017-319_33574320633_o Medium.jpeg', {'701'}), ('festival/aaron_rodriguez_treefort2017-191_33877926621_o Medium.jpeg', set()), ('festival/matthew-wordell-treefort2016-3795_26134843231_o Medium.jpeg', {'1577', '1578'}), ('festival/peter_lovera_treefort2017-55_33155622604_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-52_33999043175_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-46_33841345962_o Medium.jpeg', {'2706'}), ('festival/peter_lovera_treefort2017-429_34013378630_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-428_34397844855_o Medium.jpeg', {'2692'}), ('festival/peter_lovera_treefort2017-421_33587948843_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-41_33186189373_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-417_34013416960_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-407_34267344251_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-3_33155873444_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-394_34239002692_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-376_33588061853_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-368_34356282936_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-295_33588389613_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-288_34239860072_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-282_34356704246_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-272_34013889250_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-263_34267934571_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-230_33960568066_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-208_33960657786_o Medium.jpeg', {'2538'}), ('festival/peter_lovera_treefort2017-195_33844682752_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-191_33872659961_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-165_33958183296_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-157_33958208186_o Medium.jpeg', {'2494'}), ('festival/peter_lovera_treefort2017-138_33870021961_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-133_33958318866_o Medium.jpeg', set()), ('festival/peter_lovera_treefort2017-120_33614337370_o Medium.jpeg', set()), ('festival/peter-lovera-treefort2016-1-36_25587484964_o Medium.jpeg', set()), ('festival/peter-lovera-treefort2016-1-33_25587537034_o Medium.jpeg', set()), ('festival/peter-lovera-treefort2016--9_26173434426_o Medium.jpeg', set()), ('festival/peter-lovera-treefort2016--42_25596352343_o Medium.jpeg', set()), ('festival/peter-lovera-treefort2016--28_25926300300_o Medium.jpeg', set()), ('festival/peter-lovera-treefort2016--23_25596540543_o Medium.jpeg', set()), ('festival/peter-lovera-treefort2016--188_26176542951_o Medium.jpeg', set()), ('festival/peter-lovera-treefort2016--154_25923448650_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-6376_33591720450_o Medium.jpeg', {'2305'}), ('festival/matthew_wordell_treefort2017-6264_33163602983_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-6230_33163208933_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-6127_33163095663_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-6014_33591093840_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-5964_33163049913_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-5952_33591063330_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-5855_33818253782_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-5852_33590965280_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-5749_33132299854_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-5626_33162817123_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-5461_33584101540_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-5431_33927907156_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-5412_33811163772_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-5339_33584022860_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-5321_33155811253_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-5318_33969172495_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-5305_33811095632_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-5080_33583785180_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-5003_33125032814_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4847_33583746910_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4827_33125001664_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4809_33124981724_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4802_33583706710_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4759_33838551931_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4582_33927395906_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4572_33838391681_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4501_33810588602_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4493_33927345056_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4486_33968596095_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4444_33155215953_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4389_33583440800_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4385_33968529785_o Medium.jpeg', {'2005'}), ('festival/matthew_wordell_treefort2017-4334_33578189150_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4260_33149878893_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4199_33805352872_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4191_33805346172_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4093_33963116255_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4081_33149770813_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4052_33149773953_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-4028_33805259232_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-3997_33577939360_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-3932_33149685243_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-3440_33119020794_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-3133_33577365040_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-2984_33921187666_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-2956_33149139723_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-0432_33832265671_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-0428_33804594412_o Medium.jpeg', set()), ('festival/matthew_wordell_treefort2017-0396_33962308295_o Medium.jpeg', set()), ('festival/matthew-wordell-treefort2016-9748_26152818676_o Medium.jpeg', set()), ('festival/matthew-wordell-treefort2016-9738_26152807006_o Medium.jpeg', set()), ('festival/matthew-wordell-treefort2016-9605_26152734876_o Medium.jpeg', set()), ('festival/matthew-wordell-treefort2016-8899_25573217614_o Medium.jpeg', set()), ('festival/matthew-wordell-treefort2016-8853_26177976255_o Medium.jpeg', set()), ('festival/matthew-wordell-treefort2016-8733_26151962316_o Medium.jpeg', {'1824'}), ('festival/matthew-wordell-treefort2016-8550_26111455731_o Medium.jpeg', set())]"
"Union[IsObject(Guitar), Map(IsObject(Guitar), IsObject(Face), GetAbove)]",Search,festival,CCE,0.5,1.3728264596382800,28.39476450824730,SmartLabel,TRUE,5.913229193538430,0.09204218164086340,1,1,0,[],"[('festival/glenn_landberg_treefort2017-7119_33167197153_o Medium.jpeg', {'1278', '1284'}), ('festival/aaron_rodriguez_treefort2017-19_33480504591_o Medium.jpeg', {'355'})]"
"Intersection[IsObject(Face), Complement(Map(IsObject(Guitar), IsObject(Face), GetAbove))]",Edit,festival,CCE,0.5,1.3714631140123900,28.359350858280100,SmartLabel,TRUE,7.674015808850530,30.827995870262400,127,1,3,"[11.04338774830103, 13.687292501330376, 5.969619072973728]","[('festival/matthew-wordell-treefort2016-8475_26111260551_o Medium.jpeg', {'1808', '1810', '1811', '1809'}), ('festival/aaron_rodriguez_treefort2017-373_34254899631_o Medium.jpeg', {'811'}), ('festival/matthew-wordell-treefort2016-4274_25928788670_o Medium.jpeg', {'1616', '1614', '1615', '1612', '1613', '1611'}), ('festival/aaron-rodriguez-treefort-2016-183_26255545346_o Medium.jpeg', {'53', '54', '52', '55'})]"
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",Edit,wedding,CCE-NoAbs,0.5,1.3675083048025200,28.26658833569380,SmartLabelNoUB,TRUE,4.801365882158280,563.5981952100990,3875,1,6,"[130.52175396680832, 125.990462962538, 126.57505467906594, 116.94123849272728, 34.31521550938487, 28.976982083171606]","[('wedding/our-wedding_7667960846_o Medium.jpeg', {'270', '271'}), ('wedding/our-wedding_7667990430_o Medium.jpeg', {'326'}), ('wedding/our-wedding_7669155316_o Medium.jpeg', {'1800'}), ('wedding/our-wedding_7669054868_o Medium.jpeg', {'1567'}), ('wedding/our-wedding_7667858606_o Medium.jpeg', set()), ('wedding/our-wedding_7669146078_o Medium.jpeg', {'1773'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'116', '117'})]"
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",Edit,wedding,CCE-NoAbs,0.5,1.3637563063213700,28.17858286554780,SmartLabelNoUB,FALSE,2.8796291388571300,204.31269470229700,8181,1,3,"[146.10539384558797, 49.5976941511035, 8.344472043216228]","[('wedding/our-wedding_7667901558_o Medium.jpeg', {'167', '166'}), ('wedding/our-wedding_7667875916_o Medium.jpeg', {'63'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', set()), ('wedding/our-wedding_7669442380_o Medium.jpeg', set()), ('wedding/our-wedding_7669076756_o Medium.jpeg', {'1645'})]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",Search,wedding,CCE-NoAbs,0.5,1.3601919077642700,28.09497766890910,SmartLabelNoUB,TRUE,1501.7320564501000,260.35885029658700,54,6,20,"[108.42937872558832, 41.77492791414261, 17.511483438313007, 17.069688636809587, 17.002922475337982, 15.427845250815153, 8.04879254475236, 4.868017200380564, 4.696090649813414, 4.679196119308472, 4.608718175441027, 3.441488053649664, 2.0250269286334515, 1.6285005062818527, 1.5396231301128864, 1.5023688785731792, 1.4854057058691978, 1.478754609823227, 1.4749610014259815, 1.4704292342066765]","[('wedding/our-wedding_7668149796_o Medium.jpeg', {'841', '835'}), ('wedding/our-wedding_7669446920_o Medium.jpeg', {'2393', '2396'}), ('wedding/our-wedding_7668916354_o Medium.jpeg', {'1199', '1202', '1198'}), ('wedding/our-wedding_7668045644_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668036458_o Medium.jpeg', set()), ('wedding/our-wedding_7668052228_o Medium.jpeg', set()), ('wedding/our-wedding_7668590818_o Medium.jpeg', set()), ('wedding/our-wedding_7668662792_o Medium.jpeg', set()), ('wedding/our-wedding_7668876442_o Medium.jpeg', {'1133', '1128'}), ('wedding/our-wedding_7668954596_o Medium.jpeg', {'1295', '1291'}), ('wedding/our-wedding_7669198916_o Medium.jpeg', {'1858', '1863', '1859', '1864'})]"
