GT Program,Type,Benchmark Info,Semantics,Delta,Avg. Per Component Pred. Set Size,Avg. Per Input Pred. Set Size,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round,Initial Examples
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",Edit,wedding,CCE,0.425,1.2737819025522000,26.425,SmartLabel,TRUE,5.236854560673240,24.635971259325700,3875,1,4,"[10.110967803746462, 8.911194667220116, 2.8985219448804855, 2.518800102174282]","[('wedding/our-wedding_7667960846_o Medium.jpeg', {'254', '255'}), ('wedding/our-wedding_7667990430_o Medium.jpeg', {'299'}), ('wedding/our-wedding_7669155316_o Medium.jpeg', {'1587'}), ('wedding/our-wedding_7667858606_o Medium.jpeg', set()), ('wedding/our-wedding_7669146078_o Medium.jpeg', {'1562'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'116', '115'})]"
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",Edit,wedding,CCE,0.425,1.2737819025522000,26.425,SmartLabel,TRUE,6.536096390336750,14.262944415211700,8590,1,3,"[11.566208899021149, 1.914999220520258, 0.6464885026216507]","[('wedding/our-wedding_7667901558_o Medium.jpeg', {'159', '160'}), ('wedding/our-wedding_7667875916_o Medium.jpeg', {'64'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', set()), ('wedding/our-wedding_7668991988_o Medium.jpeg', {'1209', '1210'}), ('wedding/our-wedding_7668916354_o Medium.jpeg', {'1063', '1064'})]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",Search,wedding,CCE,0.425,1.2737819025522000,26.425,SmartLabel,TRUE,6.169850125908850,52.00044986605640,97,7,20,"[7.742990553379059, 3.148869264870882, 1.8602458722889423, 1.8384943418204784, 1.9281147047877312, 1.6683913059532642, 1.6273985467851162, 1.1500003822147846, 1.0922576636075974, 1.089782189577818, 1.1605336368083954, 1.1939746625721455, 1.3521484695374966, 1.3502981923520565, 3.4378727301955223, 6.233782473951578, 6.180615358054638, 0.6062797643244267, 6.139374356716871, 0.5963847935199738]","[('wedding/our-wedding_7668149796_o Medium.jpeg', {'730', '733'}), ('wedding/our-wedding_7669446920_o Medium.jpeg', {'2069', '2072'}), ('wedding/our-wedding_7668916354_o Medium.jpeg', {'1060', '1059', '1063'}), ('wedding/our-wedding_7669245932_o Medium.jpeg', set()), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668013044_o Medium.jpeg', set()), ('wedding/our-wedding_7668052228_o Medium.jpeg', set()), ('wedding/our-wedding_7668134904_o Medium.jpeg', set()), ('wedding/our-wedding_7668587988_o Medium.jpeg', set()), ('wedding/our-wedding_7668615172_o Medium.jpeg', set()), ('wedding/our-wedding_7668876442_o Medium.jpeg', {'990', '995'}), ('wedding/our-wedding_7668954596_o Medium.jpeg', {'1148', '1151'})]"
"Map(IsObject(Face), IsObject(Face), GetAbove)",Edit,wedding,CCE,0.425,1.2737819025522000,26.425,SmartLabel,TRUE,8.553175520151850,47.75909696146850,1203,1,12,"[12.49022501707077, 8.4175008200109, 7.0429986119270325, 2.961710814386606, 2.2563904337584972, 2.2323054671287537, 2.212838936597109, 2.2344635762274265, 2.1684646755456924, 2.0252120085060596, 1.8388262875378132, 1.802456334233284]","[('wedding/our-wedding_7669442380_o Medium.jpeg', {'2063', '2060'}), ('wedding/our-wedding_7669076756_o Medium.jpeg', {'1442'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', set()), ('wedding/our-wedding_7668991988_o Medium.jpeg', set()), ('wedding/our-wedding_7668916354_o Medium.jpeg', {'1063'}), ('wedding/our-wedding_7668095250_o Medium.jpeg', {'597'}), ('wedding/our-wedding_7669141806_o Medium.jpeg', set()), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667907634_o Medium.jpeg', {'181'}), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668013044_o Medium.jpeg', set())]"
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",Edit,wedding,CCE,0.425,1.2737819025522000,26.425,SmartLabel,TRUE,5.867197569459680,18.49264181032780,184,1,3,"[9.377579964697361, 7.938184421509504, 0.9984054155647755]","[('wedding/our-wedding_7667907634_o Medium.jpeg', {'181'}), ('wedding/our-wedding_7669213072_o Medium.jpeg', {'1643'}), ('wedding/our-wedding_7668991988_o Medium.jpeg', set()), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1185'}), ('wedding/our-wedding_7668095250_o Medium.jpeg', {'597'})]"
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",Edit,wedding,CCE,0.425,1.2737819025522000,26.425,SmartLabel,TRUE,5.75213323906064,0.1983511932194230,1,1,0,[],"[('wedding/our-wedding_7668015714_o Medium.jpeg', {'343', '345'}), ('wedding/our-wedding_7669326520_o Medium.jpeg', {'1826', '1828', '1833', '1824', '1831'})]"
"Intersection[Smile, EyesOpen]",Search ,wedding,CCE,0.425,1.273781902552200,26.425000000000000,SmartLabel,TRUE,10.921278182417200,52.10649352520700,4062,1,9,"[11.297337051481009, 9.324444752186537, 10.14025891944766, 13.334632135927677, 1.6486113891005516, 1.6302493512630463, 1.7046875096857548, 1.4827480651438236, 1.4458494186401367]","[('wedding/our-wedding_7669409648_o Medium.jpeg', {'2014', '2015'}), ('wedding/our-wedding_7669224504_o Medium.jpeg', {'1667', '1665'}), ('wedding/our-wedding_7667858606_o Medium.jpeg', set()), ('wedding/our-wedding_7667855224_o Medium.jpeg', set()), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1180', '1184', '1183', '1181'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'119'}), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', {'283'}), ('wedding/our-wedding_7668013044_o Medium.jpeg', {'339'})]"
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",Edit,wedding,CCE,0.425,1.2737819025522000,26.425,SmartLabel,TRUE,5.765923768281940,4.149540714919570,14,1,2,"[2.4370465092360973, 1.533498603850603]","[('wedding/our-wedding_7669224504_o Medium.jpeg', {'1666'}), ('wedding/our-wedding_7669092256_o Medium.jpeg', {'1466'}), ('wedding/our-wedding_7668005864_o Medium.jpeg', {'335'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'118'})]"
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",Search,wedding,CCE,0.425,1.2737819025522000,26.425,SmartLabel,TRUE,5.211275424808260,0.1857607699930670,1,1,0,[],"[('wedding/our-wedding_7668472586_o Medium.jpeg', {'745'}), ('wedding/our-wedding_7669135388_o Medium.jpeg', {'1547'})]"
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",Search,wedding,CCE,0.425,1.2737819025522000,26.425,SmartLabel,TRUE,8.105363216251140,15.232517585158300,210,1,5,"[6.948341201990843, 1.8919901922345161, 1.2778155319392681, 2.419532921165228, 2.5747543387115]","[('wedding/our-wedding_7668981368_o Medium.jpeg', {'1185', '1181'}), ('wedding/our-wedding_7667901558_o Medium.jpeg', {'160'}), ('wedding/our-wedding_7668991988_o Medium.jpeg', {'1210'}), ('wedding/our-wedding_7667897636_o Medium.jpeg', {'149'}), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668013044_o Medium.jpeg', {'339'})]"
