GT Program,Benchmark Info,Semantics,Delta,Avg. Per Component Pred. Set Size,Avg. Per Input Pred. Set Size,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round,Initial Examples
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",wedding,CCE,0.4,1.283062645011601,28.203125,SmartLabel,True,5.423664148896933,29.472622487694025,3875,1,4,"[12.08682856708765, 10.554810121655464, 3.5197196006774902, 3.09047082811594]","[('wedding/our-wedding_7667960846_o Medium.jpeg', {'255', '254'}), ('wedding/our-wedding_7667990430_o Medium.jpeg', {'299'}), ('wedding/our-wedding_7669155316_o Medium.jpeg', {'1569'}), ('wedding/our-wedding_7667858606_o Medium.jpeg', set()), ('wedding/our-wedding_7669146078_o Medium.jpeg', {'1544'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'115', '116'})]"
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",wedding,CCE,0.4,1.283062645011601,28.203125,SmartLabel,True,6.796712473034859,15.859673753380775,8590,1,3,"[12.726012896746397, 2.187272723764181, 0.7915378548204899]","[('wedding/our-wedding_7667901558_o Medium.jpeg', {'159', '160'}), ('wedding/our-wedding_7667875916_o Medium.jpeg', {'64'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', set()), ('wedding/our-wedding_7668991988_o Medium.jpeg', {'1209', '1210'}), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1182', '1185', '1181'})]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",wedding,CCE,0.4,1.283062645011601,28.203125,SmartLabel,True,6.2795514687895775,61.051552668213844,97,7,20,"[9.46948453783989, 2.625409834086895, 2.2605768740177155, 2.276895109564066, 2.361134022474289, 2.081288918852806, 2.0354605428874493, 1.3463482670485973, 1.2744101732969284, 1.2652910687029362, 1.3571593761444092, 1.4167010746896267, 1.6153057478368282, 1.6154034547507763, 3.9782956279814243, 7.355513207614422, 7.316028144210577, 0.7102859504520893, 7.275192528963089, 0.7112925015389919]","[('wedding/our-wedding_7668149796_o Medium.jpeg', {'730', '733'}), ('wedding/our-wedding_7669446920_o Medium.jpeg', {'2051', '2054'}), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1177', '1181', '1185', '1178'}), ('wedding/our-wedding_7668991988_o Medium.jpeg', {'1207', '1210', '1206'}), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668013044_o Medium.jpeg', set()), ('wedding/our-wedding_7668052228_o Medium.jpeg', set()), ('wedding/our-wedding_7668134904_o Medium.jpeg', set()), ('wedding/our-wedding_7668587988_o Medium.jpeg', set()), ('wedding/our-wedding_7668615172_o Medium.jpeg', set()), ('wedding/our-wedding_7668876442_o Medium.jpeg', {'990', '995'}), ('wedding/our-wedding_7668954596_o Medium.jpeg', {'1148', '1151'})]"
"Map(IsObject(Face), IsObject(Face), GetAbove)",wedding,CCE,0.4,1.283062645011601,28.203125,SmartLabel,True,8.912954803556204,56.25293334573507,1203,1,12,"[13.860970623791218, 9.274120476096869, 8.47461824119091, 3.3510056771337986, 2.771756313741207, 2.779570922255516, 2.8056284226477146, 2.831560019403696, 2.75699383020401, 2.573191974312067, 2.363636787980795, 2.3224572651088238]","[('wedding/our-wedding_7669442380_o Medium.jpeg', {'2042', '2045'}), ('wedding/our-wedding_7669076756_o Medium.jpeg', {'1442'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', set()), ('wedding/our-wedding_7668991988_o Medium.jpeg', set()), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1180', '1185', '1183'}), ('wedding/our-wedding_7668095250_o Medium.jpeg', {'597'}), ('wedding/our-wedding_7669141806_o Medium.jpeg', set()), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667907634_o Medium.jpeg', {'181'}), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668013044_o Medium.jpeg', set())]"
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",wedding,CCE,0.4,1.283062645011601,28.203125,SmartLabel,True,6.051288791000843,20.723137605935335,184,1,3,"[10.447573728859425, 9.03396475315094, 1.0362494327127934]","[('wedding/our-wedding_7667907634_o Medium.jpeg', {'181'}), ('wedding/our-wedding_7669213072_o Medium.jpeg', {'1625'}), ('wedding/our-wedding_7668991988_o Medium.jpeg', set()), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1185'}), ('wedding/our-wedding_7668095250_o Medium.jpeg', {'597'})]"
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",wedding,CCE,0.4,1.283062645011601,28.203125,SmartLabel,True,6.20829962939024,0.2336536906659603,1,1,0,[],"[('wedding/our-wedding_7668015714_o Medium.jpeg', {'343', '345'}), ('wedding/our-wedding_7669326520_o Medium.jpeg', {'1815', '1806', '1808', '1810', '1813'})]"
"Intersection[Smile, EyesOpen]",wedding,CCE,0.4,1.283062645011601,28.203125,SmartLabel,True,11.276613727211952,59.09717642515898,4062,1,9,"[12.492653917521238, 10.280017651617527, 11.346852518618107, 15.479634631425142, 1.9550062604248524, 1.9290033355355263, 2.0046325623989105, 1.7705406583845615, 1.7314877174794674]","[('wedding/our-wedding_7669409648_o Medium.jpeg', {'1996', '1997'}), ('wedding/our-wedding_7669224504_o Medium.jpeg', {'1649', '1647'}), ('wedding/our-wedding_7667858606_o Medium.jpeg', set()), ('wedding/our-wedding_7667855224_o Medium.jpeg', set()), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1180', '1183', '1181', '1184'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'119'}), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', {'283'}), ('wedding/our-wedding_7668013044_o Medium.jpeg', {'339'})]"
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",wedding,CCE,0.4,1.283062645011601,28.203125,SmartLabel,True,5.925248045474291,4.586708806455135,14,1,2,"[2.6963685005903244, 1.6918176263570786]","[('wedding/our-wedding_7669224504_o Medium.jpeg', {'1648'}), ('wedding/our-wedding_7669092256_o Medium.jpeg', {'1466'}), ('wedding/our-wedding_7668005864_o Medium.jpeg', {'335'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'118'})]"
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",wedding,CCE,0.4,1.283062645011601,28.203125,SmartLabel,True,5.469579841941595,0.20548275858163834,1,1,0,[],"[('wedding/our-wedding_7668472586_o Medium.jpeg', {'745'}), ('wedding/our-wedding_7669135388_o Medium.jpeg', {'1529'})]"
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",wedding,CCE,0.4,1.283062645011601,28.203125,SmartLabel,True,8.496049765497446,17.55006469413638,220,1,5,"[7.784746292978525, 2.2156152427196503, 1.5751817934215069, 2.8351927287876606, 2.9989968612790108]","[('wedding/our-wedding_7668981368_o Medium.jpeg', {'1185', '1181'}), ('wedding/our-wedding_7667901558_o Medium.jpeg', {'160'}), ('wedding/our-wedding_7668991988_o Medium.jpeg', {'1210'}), ('wedding/our-wedding_7667897636_o Medium.jpeg', {'149'}), ('wedding/our-wedding_7667876934_o Medium.jpeg', set()), ('wedding/our-wedding_7667977420_o Medium.jpeg', set()), ('wedding/our-wedding_7668013044_o Medium.jpeg', {'339'})]"
