GT Program,Benchmark Info,Semantics,Delta,Avg. Per Component Pred. Set Size,Avg. Per Input Pred. Set Size,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round
(length (filter (curry le 5) (map (curry plus 1) (map_imgs pred_int input-list)))),,CCE,0.00475,2.35,30.39,SmartLabel,True,8.24986194819212,15.011397127062082,402,61,3,"[7.125879991799593, 1.9533316977322102, 1.4330996572971344]"
(fold max 0  (map (curry plus (apply pred_int input-img)) (filter (curry le 9) (map_imgs pred_int input-list)))),,CCE,0.00475,2.35,30.39,SmartLabel,True,60.61071929708123,62.10260684043169,1406,40,12,"[11.661162316799164, 6.903729226440191, 3.2892682813107967, 3.3669366538524628, 3.8247623071074486, 2.011354748159647, 1.8764338493347168, 2.2389675602316856, 1.2668150290846825, 0.9741503819823265, 11.191209305077791, 10.9826356805861]"
(fold plus 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 9) (map_imgs pred_int input-list)))),,CCE,0.00475,2.35,30.39,SmartLabel,True,6.469229277223349,6.882985029369593,146,6,2,"[6.02158235758543, 0.31457706168293953]"
(length (filter (curry ge (apply pred_int input-img)) (map (curry mult 2)  (map_imgs pred_int input-list)))),,CCE,0.00475,2.35,30.39,SmartLabel,True,5.536097299307585,9.181097760796547,476,1,4,"[6.00504682585597, 2.8100417852401733, 0.20897522941231728, 0.07022576406598091]"
(fold max 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 2)  (map_imgs pred_int input-list)))),,CCE,0.00475,2.35,30.389999999999997,SmartLabel,True,11.02151495963335,6.6371575482189655,717,1,2,"[6.269813559949398, 0.2798748128116131]"
(fold plus 0 (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.00475,2.35,30.389999999999997,SmartLabel,True,6.613175000995398,14.999086193740368,568,7,6,"[6.229806330054998, 5.30089346319437, 1.4169927723705769, 0.6448073647916317, 0.39714594930410385, 0.3906437158584595]"
(fold mult 1 (filter (curry le (apply pred_int input-img)) (map (curry mult 3) (map_imgs pred_int input-list)))),,CCE,0.00475,2.35,30.389999999999993,SmartLabel,True,6.466149277985096,5.673605442047119,888,1,2,"[5.423859525471926, 0.156160868704319]"
(length (filter (curry le 8) (filter (curry ge 8) (map_imgs pred_int input-list)))),,CCE,0.00475,2.35,30.39,SmartLabel,True,5.107527691870928,9.46135200932622,264,2,5,"[6.545386351644993, 1.9705795980989933, 0.5253068692982197, 0.18135427683591843, 0.09535903483629227]"
(fold plus (apply pred_int input-img) (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.00475,2.35,30.39,SmartLabel,True,154.0928208231926,13.093851521611214,932,7,4,"[7.9290693663060665, 3.34676231443882, 0.6432884149253368, 0.49087127298116684]"
(fold plus 0 (map (curry mult 2) (map_imgs pred_int input-list))),,CCE,0.00475,2.3500000000000005,30.389999999999997,SmartLabel,True,4.526615668088198,2.5443059615790844,50,13,1,[1.4511983506381512]
(fold max (apply pred_int input-img) (filter (curry ge 9) (map_imgs pred_int input-list))),,CCE,0.00475,2.3500000000000005,30.389999999999997,SmartLabel,True,5.88406116142869,7.424139462411404,141,47,1,[3.4089884012937546]
(fold plus 0 (map (curry plus (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.00475,2.3500000000000005,30.389999999999997,SmartLabel,True,4.838096559047699,6.624649923294783,87,6,3,"[5.076105069369078, 0.7518094107508659, 0.2560333386063576]"
(length (filter (curry le (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.00475,2.3500000000000005,30.389999999999993,SmartLabel,True,5.582858864217997,36.85085370391607,475,7,21,"[6.501218065619469, 6.694321755319834, 1.680276706814766, 0.43217143416404724, 0.3458479084074497, 0.23383470252156258, 0.31067028641700745, 1.3931748382747173, 1.4313880577683449, 1.4851891919970512, 1.459836009889841, 1.4733229503035545, 1.5146756917238235, 1.4831205941736698, 1.6643522791564465, 1.6698050536215305, 2.0919629633426666, 2.131146404892206, 1.9685182981193066, 0.7668973729014397, 0.11863438412547112]"
(fold mult 1 (map (curry mult 7) (map_imgs pred_int input-list))),,CCE,0.00475,2.3500000000000005,30.389999999999993,SmartLabel,True,5.29718229919672,1.1495703980326653,12,10,1,[0.3164273612201214]
(length (filter (curry le 9) (filter (curry ge 5) (map_imgs pred_int input-list)))),,CCE,0.00475,2.3500000000000005,30.389999999999993,SmartLabel,True,3.981164585798979,11.141876146197319,359,59,2,"[4.456879649311304, 2.3635751642286777]"
(fold max 0 (filter (curry le 2) (map_imgs pred_int input-list))),,CCE,0.00475,2.35,30.39,SmartLabel,True,5.894219074398279,21.658089730888605,650,26,8,"[4.632480930536985, 5.044548008590937, 1.887650579214096, 1.5128174722194672, 1.5196561068296432, 1.50320540741086, 1.7185119166970253, 1.8267283774912357]"
(fold plus 0 (filter (curry ge 8) (map_imgs pred_int input-list))),,CCE,0.00475,2.35,30.39,SmartLabel,True,7.049741391092539,32.967664167284966,10709,41,14,"[8.10942118987441, 10.60076105967164, 2.8869559578597546, 2.3838246800005436, 2.03567161411047, 1.1164143905043602, 2.2639864534139633, 0.38887567445635796, 0.36685381457209587, 0.43619660288095474, 0.6460835970938206, 0.4651250056922436, 0.6372892670333385, 0.5586217194795609]"
(fold max 0 (map (curry mult 2) (map_imgs pred_int input-list))),,CCE,0.00475,2.35,30.39,SmartLabel,True,31.82115000858903,39.67738155275583,3621,51,6,"[9.36502419039607, 5.788701239973307, 3.808906279504299, 3.9844664484262466, 3.087131265550852, 9.592430856078863]"
(fold max 0 (map (curry mult 2) (filter (curry ge 5) (map_imgs pred_int input-list)))),,CCE,0.00475,2.35,30.389999999999997,SmartLabel,True,11.703726164996624,11.891738124191761,2487,2,4,"[10.591714810580015, 0.7227834202349186, 0.26859939843416214, 0.13945630565285683]"
